
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Chicago Cubs,NL Central,162,73,89,0,.451,.436,5th of 5,17.0,,614,707,26.8,28.0,48,27,J.Arrieta (5.6),R.Renteria (73-89)
2,2013,Chicago Cubs,NL Central,162,66,96,0,.407,.439,5th of 5,31.0,,602,689,27.9,28.7,56,31,T.Wood (5.1),D.Sveum (66-96)
3,2012,Chicago Cubs,NL Central,162,61,101,0,.377,.403,5th of 6,36.0,,613,759,27.8,27.9,53,30,D.Barney (4.6),D.Sveum (61-101)
4,2011,Chicago Cubs,NL Central,162,71,91,0,.438,.434,5th of 6,25.0,,654,756,29.3,29.4,42,22,S.Castro (3.0),M.Quade (71-91)
5,2010,Chicago Cubs,NL Central,162,75,87,0,.463,.448,5th of 6,16.0,,685,767,29.4,28.2,44,23,M.Byrd (3.7),L.Piniella (51-74) and M.Quade (24-13)
6,2009,Chicago Cubs,NL Central,161,83,78,0,.516,.523,2nd of 6,7.5,,707,672,29.9,28.4,45,24,D.Lee (5.4),L.Piniella (83-78)
7,2008,Chicago Cubs,NL Central,161,97,64,0,.602,.609,1st of 6,--,Lost LDS (3-0),855,671,30.1,28.9,42,23,R.Dempster (6.9),L.Piniella (97-64)
8,2007,Chicago Cubs,NL Central,162,85,77,0,.525,.539,1st of 6,--,Lost LDS (3-0),752,690,29.3,28.4,47,22,A.Ramirez (5.2),L.Piniella (85-77)
9,2006,Chicago Cubs,NL Central,162,66,96,0,.407,.431,6th of 6,17.5,,716,834,28.6,28.0,46,23,C.Zambrano (5.8),D.Baker (66-96)
10,2005,Chicago Cubs,NL Central,162,79,83,0,.488,.493,4th of 6,21.0,,703,714,29.7,28.2,46,22,D.Lee (7.7),D.Baker (79-83)
11,2004,Chicago Cubs,NL Central,162,89,73,0,.549,.578,3rd of 6,16.0,,789,665,30.1,29.1,43,19,C.Zambrano (7.3),D.Baker (89-73)
12,2003,Chicago Cubs,NL Central,162,88,74,0,.543,.527,1st of 6,--,Lost NLCS (4-3),724,683,31.3,28.2,42,17,M.Prior (8.0),D.Baker (88-74)
13,2002,Chicago Cubs,NL Central,162,67,95,0,.414,.467,5th of 6,30.0,,706,759,30.2,27.6,44,22,S.Sosa (5.7),D.Baylor (34-49) R.Lachemann (0-1) and B.Kimm (33-45)
14,2001,Chicago Cubs,NL Central,162,88,74,0,.543,.547,3rd of 6,5.0,,777,701,30.7,29.8,43,20,S.Sosa (10.3),D.Baylor (88-74)
15,2000,Chicago Cubs,NL Central,162,65,97,0,.401,.424,6th of 6,30.0,,764,904,30.8,28.4,51,24,S.Sosa (5.7),D.Baylor (65-97)
16,1999,Chicago Cubs,NL Central,162,67,95,0,.414,.406,6th of 6,30.0,,747,920,31.2,28.8,47,25,S.Sosa (4.8),J.Riggleman (67-95)
