
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Detroit Tigers,AL Central,162,90,72,0,.556,.533,1st of 5,--,Lost LDS (3-0),757,705,29.7,28.5,48,30,M.Scherzer (6.0),B.Ausmus (90-72)
2,2013,Detroit Tigers,AL Central,162,93,69,0,.574,.610,1st of 5,--,Lost ALCS (4-2),796,624,29.9,28.4,39,20,M.Cabrera (7.5),J.Leyland (93-69)
3,2012,Detroit Tigers,AL Central,162,88,74,0,.543,.537,1st of 5,--,Lost WS (4-0),726,670,28.0,28.2,47,23,J.Verlander (7.7),J.Leyland (88-74)
4,2011,Detroit Tigers,AL Central,162,95,67,0,.586,.546,1st of 5,--,Lost ALCS (4-2),787,711,28.6,27.8,45,26,J.Verlander (8.4),J.Leyland (95-67)
5,2010,Detroit Tigers,AL Central,162,81,81,0,.500,.505,3rd of 5,13.0,,751,743,28.8,26.5,41,20,M.Cabrera (6.4),J.Leyland (81-81)
6,2009,Detroit Tigers,AL Central,163,86,77,0,.528,.499,2nd of 5,1.0,,743,745,29.7,26.6,45,23,J.Verlander (5.5),J.Leyland (86-77)
7,2008,Detroit Tigers,AL Central,162,74,88,0,.457,.480,5th of 5,14.5,,821,857,30.3,29.9,46,25,P.Polanco (4.4),J.Leyland (74-88)
8,2007,Detroit Tigers,AL Central,162,88,74,0,.543,.549,2nd of 5,8.0,,887,797,30.8,28.5,44,25,C.Granderson (7.6),J.Leyland (88-74)
9,2006,Detroit Tigers,AL Central,162,95,67,0,.586,.589,2nd of 5,1.0,Lost WS (4-1),822,675,29.3,28.8,40,19,C.Guillen (6.0),J.Leyland (95-67)
10,2005,Detroit Tigers,AL Central,162,71,91,0,.438,.461,4th of 5,28.0,,723,787,28.5,28.0,45,23,P.Polanco (4.3),A.Trammell (71-91)
11,2004,Detroit Tigers,AL Central,162,72,90,0,.444,.491,4th of 5,20.0,,827,844,28.2,27.5,39,18,C.Guillen (4.6),A.Trammell (72-90)
12,2003,Detroit Tigers,AL Central,162,43,119,0,.265,.305,5th of 5,47.0,,591,928,27.2,25.3,43,20,D.Young (3.4),A.Trammell (43-119)
13,2002,Detroit Tigers,AL Central,161,55,106,0,.342,.322,5th of 5,39.0,,575,864,28.1,28.1,57,30,J.Weaver (2.8),P.Garner (0-6) and L.Pujols (55-100)
14,2001,Detroit Tigers,AL Central,162,66,96,0,.407,.414,4th of 5,25.0,,724,876,28.2,28.1,44,22,S.Sparks (4.3),P.Garner (66-96)
15,2000,Detroit Tigers,AL Central,162,79,83,0,.488,.498,3rd of 5,16.0,,823,827,29.1,29.1,45,23,B.Higginson (5.3),P.Garner (79-83)
16,1999,Detroit Tigers,AL Central,161,69,92,0,.429,.425,3rd of 5,27.5,,747,882,27.5,27.6,41,21,B.Ausmus (3.3),L.Parrish (69-92)
17,1998,Detroit Tigers,AL Central,162,65,97,0,.401,.419,5th of 5,24.0,,722,863,27.3,26.6,45,20,D.Easley (5.6),B.Bell (52-85) and L.Parrish (13-12)
18,1997,Detroit Tigers,AL East,162,79,83,0,.488,.497,3rd of 5,19.0,,784,790,26.5,27.5,43,20,J.Thompson (7.7),B.Bell (79-83)
19,1996,Detroit Tigers,AL East,162,53,109,0,.327,.348,5th of 5,39.0,,783,1103,27.0,26.7,53,27,B.Higginson (3.6),B.Bell (53-109)
20,1995,Detroit Tigers,AL East,144,60,84,0,.417,.385,4th of 5,26.0,,654,844,28.8,27.8,45,22,D.Wells (4.5),S.Anderson (60-84)
21,1994,Detroit Tigers,AL East,115,53,62,0,.461,.487,5th of 5,18.0,,652,671,30.8,31.2,36,18,T.Phillips (4.7),S.Anderson (53-62)
22,1993,Detroit Tigers,AL East,162,85,77,0,.525,.533,3rd of 7,10.0,,899,837,30.7,30.1,40,22,T.Phillips (5.6),S.Anderson (85-77)
23,1992,Detroit Tigers,AL East,162,75,87,0,.463,.498,6th of 7,21.0,,791,794,29.9,29.6,34,15,T.Phillips (5.0),S.Anderson (75-87)
24,1991,Detroit Tigers,AL East,162,84,78,0,.519,.513,2nd of 7,7.0,,817,794,29.2,30.8,41,19,L.Whitaker (6.7),S.Anderson (84-78)
25,1990,Detroit Tigers,AL East,162,79,83,0,.488,.498,3rd of 7,9.0,,750,754,30.6,30.4,43,20,A.Trammell (6.7),S.Anderson (79-83)
26,1989,Detroit Tigers,AL East,162,59,103,0,.364,.375,7th of 7,30.0,,617,816,30.9,31.0,46,22,L.Whitaker (5.3),S.Anderson (59-103)
27,1988,Detroit Tigers,AL East,162,88,74,0,.543,.530,2nd of 7,1.0,,703,658,32.1,31.1,37,14,A.Trammell (6.0),S.Anderson (88-74)
28,1987,Detroit Tigers,AL East,162,98,64,0,.605,.590,1st of 7,--,Lost ALCS (4-1),896,735,31.1,29.5,37,14,A.Trammell (8.2),S.Anderson (98-64)
29,1986,Detroit Tigers,AL East,162,87,75,0,.537,.551,3rd of 7,8.5,,798,714,30.4,28.9,40,16,A.Trammell (6.3),S.Anderson (87-75)
30,1985,Detroit Tigers,AL East,161,84,77,0,.522,.526,3rd of 7,15.0,,729,688,29.5,29.1,36,14,K.Gibson (5.4),S.Anderson (84-77)
31,1984,Detroit Tigers,AL East,162,104,58,0,.642,.614,1st of 7,--,Won WS (4-1),829,643,28.6,29.7,35,14,A.Trammell (6.7),S.Anderson (104-58)
32,1983,Detroit Tigers,AL East,162,92,70,0,.568,.568,2nd of 7,6.0,,789,679,27.8,28.1,39,16,L.Whitaker (6.7),S.Anderson (92-70)
33,1982,Detroit Tigers,AL East,162,83,79,0,.512,.528,4th of 7,12.0,,729,685,27.1,26.7,39,17,L.Whitaker (5.4),S.Anderson (83-79)
34,1981,Detroit Tigers,AL East,109,60,49,0,.550,.525,3rd of 7,2.0,,427,404,27.1,26.2,34,14,L.Whitaker (3.8),S.Anderson (60-49)
35,1980,Detroit Tigers,AL East,163,84,78,1,.519,.542,4th of 7,19.0,,830,757,26.4,25.6,34,14,A.Trammell (4.8),S.Anderson (84-78)
36,1979,Detroit Tigers,AL East,161,85,76,0,.528,.519,5th of 7,18.0,,770,738,26.6,26.3,41,17,J.Morris (5.8),L.Moss (27-26) D.Tracewski (2-0) and S.Anderson (56-50)
37,1978,Detroit Tigers,AL East,162,86,76,0,.531,.541,5th of 7,13.5,,714,653,26.2,27.1,34,17,J.Thompson (5.5),R.Houk (86-76)
38,1977,Detroit Tigers,AL East,162,74,88,0,.457,.477,4th of 7,26.0,,714,751,27.3,25.8,38,15,D.Rozema (5.7),R.Houk (74-88)
39,1976,Detroit Tigers,AL East,161,74,87,0,.460,.431,5th of 6,24.0,,609,709,28.0,26.7,33,12,M.Fidrych (9.6),R.Houk (74-87)
40,1975,Detroit Tigers,AL East,159,57,102,0,.358,.357,6th of 6,37.5,,570,786,27.6,27.4,38,15,M.Lolich (4.2),R.Houk (57-102)
41,1974,Detroit Tigers,AL East,162,72,90,0,.444,.403,6th of 6,19.0,,620,768,30.0,28.9,37,12,J.Hiller (4.2),R.Houk (72-90)
42,1973,Detroit Tigers,AL East,162,85,77,0,.525,.478,3rd of 6,12.0,,642,674,31.5,30.4,39,16,J.Hiller (8.1),B.Martin (71-63) and J.Schultz (14-14)
43,1972,Detroit Tigers,AL East,156,86,70,0,.551,.538,1st of 6,--,Lost ALCS (3-2),558,514,30.7,27.8,44,20,M.Lolich (7.2),B.Martin (86-70)
44,1971,Detroit Tigers,AL East,162,91,71,0,.562,.538,2nd of 6,12.0,,701,645,29.6,26.7,38,18,M.Lolich (8.7),B.Martin (91-71)
45,1970,Detroit Tigers,AL East,162,79,83,0,.488,.457,4th of 6,29.0,,666,731,28.8,26.6,35,16,M.Lolich (4.7),M.Smith (79-83)
46,1969,Detroit Tigers,AL East,162,90,72,0,.556,.570,2nd of 6,19.0,,701,601,28.8,28.1,34,16,D.McLain (8.0),M.Smith (90-72)
47,1968,Detroit Tigers,AL,164,103,59,2,.636,.638,1st of 10,--,Won WS (4-3),671,492,28.0,26.8,33,15,D.McLain (7.3),M.Smith (103-59)
48,1967,Detroit Tigers,AL,163,91,71,1,.562,.569,2nd of 10,1.0,,683,587,28.3,27.6,38,17,A.Kaline (7.5),M.Smith (91-71)
49,1966,Detroit Tigers,AL,162,88,74,0,.543,.514,3rd of 10,10.0,,719,698,27.7,28.3,33,16,D.McAuliffe (6.0),C.Dressen (16-10) B.Swift (32-25) and F.Skaff (40-39)
50,1965,Detroit Tigers,AL,162,89,73,0,.549,.556,4th of 10,13.0,,680,602,26.8,26.9,37,18,N.Cash (5.4),B.Swift (24-18) and C.Dressen (65-55)
51,1964,Detroit Tigers,AL,163,85,77,1,.525,.514,4th of 10,14.0,,699,678,27.5,26.9,37,18,A.Kaline (5.6),C.Dressen (85-77)
52,1963,Detroit Tigers,AL,162,79,83,0,.488,.498,5th of 10,25.5,,700,703,28.4,28.5,41,18,A.Kaline (5.4),B.Scheffing (24-36) and C.Dressen (55-47)
53,1962,Detroit Tigers,AL,161,85,76,0,.528,.542,4th of 10,10.5,,758,692,28.2,29.5,37,17,H.Aguirre (6.1),B.Scheffing (85-76)
54,1961,Detroit Tigers,AL,163,101,61,1,.623,.602,2nd of 10,8.0,,841,671,27.4,29.1,42,19,N.Cash (9.2),B.Scheffing (101-61)
55,1960,Detroit Tigers,AL,154,71,83,0,.461,.492,6th of 8,26.0,,633,644,28.7,28.8,37,14,J.Bunning (6.5),J.Dykes (44-52) B.Hitchcock (1-0) and J.Gordon (26-31)
56,1959,Detroit Tigers,AL,154,76,78,0,.494,.488,4th of 8,18.0,,713,732,28.8,28.4,37,17,A.Kaline (6.0),B.Norman (2-15) and J.Dykes (74-63)
57,1958,Detroit Tigers,AL,154,77,77,0,.500,.538,5th of 8,15.0,,659,606,27.5,27.2,44,18,F.Lary (6.7),J.Tighe (21-28) and B.Norman (56-49)
58,1957,Detroit Tigers,AL,154,78,76,0,.506,.500,4th of 8,20.0,,614,614,27.0,27.0,43,17,J.Bunning (7.0),J.Tighe (78-76)
59,1956,Detroit Tigers,AL,155,82,72,1,.532,.555,5th of 8,15.0,,789,699,27.2,28.0,39,17,F.Lary (6.6),B.Harris (82-72)
60,1955,Detroit Tigers,AL,154,79,75,0,.513,.574,5th of 8,17.0,,775,658,26.8,27.0,41,19,A.Kaline (8.2),B.Harris (79-75)
61,1954,Detroit Tigers,AL,155,68,86,1,.442,.442,5th of 8,43.0,,584,664,25.7,27.2,36,13,S.Gromek (6.1),F.Hutchinson (68-86)
62,1953,Detroit Tigers,AL,158,60,94,4,.390,.373,6th of 8,40.5,,695,923,28.5,26.7,43,20,R.Boone (4.6),F.Hutchinson (60-94)
63,1952,Detroit Tigers,AL,156,50,104,2,.325,.374,8th of 8,45.0,,557,738,29.0,28.9,46,17,V.Wertz (2.2),R.Rolfe (23-49) and F.Hutchinson (27-55)
64,1951,Detroit Tigers,AL,154,73,81,0,.474,.464,5th of 8,25.0,,685,741,28.9,30.6,35,16,V.Wertz (4.4),R.Rolfe (73-81)
65,1950,Detroit Tigers,AL,157,95,59,3,.617,.573,2nd of 8,3.0,,837,713,28.2,28.5,30,13,A.Houtteman (5.7),R.Rolfe (95-59)
66,1949,Detroit Tigers,AL,155,87,67,1,.565,.562,4th of 8,10.0,,751,655,28.0,27.8,31,12,V.Trucks (6.2),R.Rolfe (87-67)
67,1948,Detroit Tigers,AL,154,78,76,0,.506,.483,5th of 8,18.5,,700,726,28.2,27.6,33,12,H.Newhouser (6.6),S.O'Neill (78-76)
68,1947,Detroit Tigers,AL,158,85,69,4,.552,.548,2nd of 8,12.0,,714,642,29.7,28.8,29,10,H.Newhouser (6.4),S.O'Neill (85-69)
69,1946,Detroit Tigers,AL,155,92,62,1,.597,.598,2nd of 8,12.0,,704,567,30.4,29.0,37,15,H.Newhouser (9.3),S.O'Neill (92-62)
70,1945,Detroit Tigers,AL,155,88,65,2,.575,.552,1st of 8,--,Won WS (4-3),633,565,32.4,28.4,37,16,H.Newhouser (12.0),S.O'Neill (88-65)
71,1944,Detroit Tigers,AL,156,88,66,2,.571,.557,2nd of 8,1.0,,658,581,31.7,27.1,32,12,D.Trout (11.1),S.O'Neill (88-66)
72,1943,Detroit Tigers,AL,155,78,76,1,.506,.555,5th of 8,20.0,,632,560,28.9,26.9,27,11,R.York (6.3),S.O'Neill (78-76)
73,1942,Detroit Tigers,AL,156,73,81,2,.474,.502,5th of 8,30.0,,589,587,28.3,27.1,31,12,H.White (5.3),D.Baker (73-81)
74,1941,Detroit Tigers,AL,155,75,79,1,.487,.464,4th of 8,26.0,,686,743,29.2,28.6,37,15,A.Benton (4.4),D.Baker (75-79)
75,1940,Detroit Tigers,AL,155,90,64,1,.584,.597,1st of 8,--,Lost WS (4-3),888,717,29.4,27.8,35,17,B.Newsom (7.4),D.Baker (90-64)
76,1939,Detroit Tigers,AL,155,81,73,1,.526,.549,5th of 8,26.5,,849,762,28.5,28.0,39,19,B.Newsom (6.9),D.Baker (81-73)
77,1938,Detroit Tigers,AL,155,84,70,1,.545,.537,4th of 8,16.0,,862,795,28.2,27.8,31,14,H.Greenberg (7.0),M.Cochrane (47-51) and D.Baker (37-19)
78,1937,Detroit Tigers,AL,155,89,65,1,.578,.548,2nd of 8,13.0,,935,841,29.0,27.4,31,13,H.Greenberg (7.7),M.Cochrane (42-33) D.Baker (41-23) and C.Perkins (6-9)
79,1936,Detroit Tigers,AL,154,83,71,0,.539,.526,2nd of 8,19.5,,921,871,30.7,28.1,29,11,C.Gehringer (7.4),M.Cochrane (65-55) and D.Baker (18-16)
80,1935,Detroit Tigers,AL,152,93,58,1,.616,.644,1st of 8,--,Won WS (4-2),919,665,28.9,28.4,27,11,C.Gehringer (7.8),M.Cochrane (93-58)
81,1934,Detroit Tigers,AL,154,101,53,0,.656,.635,1st of 8,--,Lost WS (4-3),958,708,28.1,28.3,29,12,C.Gehringer (8.4),M.Cochrane (101-53)
82,1933,Detroit Tigers,AL,155,75,79,1,.487,.493,5th of 8,25.0,,722,733,26.7,28.6,31,14,C.Gehringer (7.2),B.Harris (73-79) and D.Baker (2-0)
83,1932,Detroit Tigers,AL,153,76,75,2,.503,.507,5th of 8,29.5,,799,787,27.4,28.3,28,10,C.Gehringer (4.7),B.Harris (76-75)
84,1931,Detroit Tigers,AL,154,61,93,0,.396,.388,7th of 8,47.0,,651,836,27.4,28.7,33,11,G.Uhle (6.1),B.Harris (61-93)
85,1930,Detroit Tigers,AL,154,75,79,0,.487,.472,5th of 8,27.0,,783,833,26.7,28.2,36,14,G.Uhle (7.4),B.Harris (75-79)
86,1929,Detroit Tigers,AL,155,70,84,1,.455,.499,6th of 8,36.0,,926,928,27.6,27.9,35,16,C.Gehringer (5.8),B.Harris (70-84)
87,1928,Detroit Tigers,AL,154,68,86,0,.442,.465,6th of 8,33.0,,744,804,28.1,27.3,27,11,O.Carroll (5.1),G.Moriarty (68-86)
88,1927,Detroit Tigers,AL,156,82,71,3,.536,.522,4th of 8,27.5,,845,805,27.6,27.3,30,14,H.Heilmann (7.2),G.Moriarty (82-71)
89,1926,Detroit Tigers,AL,157,79,75,3,.513,.479,6th of 8,12.0,,793,830,28.0,27.8,30,13,H.Heilmann (5.2),T.Cobb (79-75)
90,1925,Detroit Tigers,AL,156,81,73,2,.526,.539,4th of 8,16.5,,903,829,28.9,28.4,31,13,H.Heilmann (6.9),T.Cobb (81-73)
91,1924,Detroit Tigers,AL,156,86,68,2,.558,.529,3rd of 8,6.0,,849,796,29.1,26.7,30,13,H.Heilmann (6.4),T.Cobb (86-68)
92,1923,Detroit Tigers,AL,155,83,71,1,.539,.552,2nd of 8,16.0,,831,741,29.0,27.4,30,12,H.Heilmann (9.3),T.Cobb (83-71)
93,1922,Detroit Tigers,AL,155,79,75,1,.513,.521,3rd of 8,15.0,,828,791,29.1,27.1,27,11,T.Cobb (6.7),T.Cobb (79-75)
94,1921,Detroit Tigers,AL,154,71,82,1,.464,.516,6th of 8,27.0,,883,852,29.1,27.9,34,14,H.Heilmann (6.8),T.Cobb (71-82)
95,1920,Detroit Tigers,AL,155,61,93,1,.396,.390,7th of 8,37.0,,652,833,29.0,27.2,38,21,H.Ehmke (4.4),H.Jennings (61-93)
96,1919,Detroit Tigers,AL,140,80,60,0,.571,.531,4th of 8,8.0,,618,578,28.6,27.1,25,11,B.Veach (6.6),H.Jennings (80-60)
97,1918,Detroit Tigers,AL,128,55,71,2,.437,.429,7th of 8,20.0,,476,557,28.5,26.9,36,17,T.Cobb (6.6),H.Jennings (55-71)
98,1917,Detroit Tigers,AL,154,78,75,1,.510,.547,4th of 8,21.5,,639,577,27.7,26.1,28,9,T.Cobb (11.3),H.Jennings (78-75)
99,1916,Detroit Tigers,AL,155,87,67,1,.565,.554,3rd of 8,4.0,,670,595,27.1,26.4,34,14,T.Cobb (8.0),H.Jennings (87-67)
100,1915,Detroit Tigers,AL,156,100,54,2,.649,.619,2nd of 8,2.5,,778,597,27.1,26.1,27,12,T.Cobb (9.5),H.Jennings (100-54)
101,1914,Detroit Tigers,AL,157,80,73,4,.523,.498,4th of 8,19.5,,615,618,26.3,25.5,30,12,S.Crawford (6.2),H.Jennings (80-73)
102,1913,Detroit Tigers,AL,153,66,87,0,.431,.438,6th of 8,30.0,,625,716,26.2,25.5,43,19,T.Cobb (7.4),H.Jennings (66-87)
103,1912,Detroit Tigers,AL,154,69,84,1,.451,.465,6th of 8,36.5,,720,777,26.9,26.6,53,20,T.Cobb (9.2),H.Jennings (69-84)
104,1911,Detroit Tigers,AL,154,89,65,0,.578,.531,2nd of 8,13.5,,831,777,27.2,27.1,29,11,T.Cobb (10.7),H.Jennings (89-65)
105,1910,Detroit Tigers,AL,155,86,68,1,.558,.569,3rd of 8,18.0,,679,584,27.8,27.2,30,13,T.Cobb (10.5),H.Jennings (86-68)
