
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Kansas City Royals,AL Central,162,89,73,0,.549,.519,2nd of 5,1.0,Lost WS (4-3),651,624,28.3,28.9,48,23,A.Gordon (6.6),N.Yost (89-73)
2,2013,Kansas City Royals,AL Central,162,86,76,0,.531,.534,3rd of 5,7.0,,648,601,27.0,28.9,43,20,S.Perez (4.3),N.Yost (86-76)
3,2012,Kansas City Royals,AL Central,162,72,90,0,.444,.455,3rd of 5,16.0,,676,746,26.1,27.3,46,25,A.Gordon (6.3),N.Yost (72-90)
4,2011,Kansas City Royals,AL Central,162,71,91,0,.438,.480,4th of 5,24.0,,730,762,25.8,26.4,42,23,A.Gordon (7.2),N.Yost (71-91)
5,2010,Kansas City Royals,AL Central,162,67,95,0,.414,.399,5th of 5,27.0,,676,845,28.8,27.5,46,25,J.Soria (3.7),T.Hillman (12-23) and N.Yost (55-72)
6,2009,Kansas City Royals,AL Central,162,65,97,0,.401,.407,4th of 5,21.5,,686,842,27.8,28.7,43,23,Z.Greinke (10.4),T.Hillman (65-97)
7,2008,Kansas City Royals,AL Central,162,75,87,0,.463,.444,4th of 5,13.5,,691,781,28.0,27.6,43,25,Z.Greinke (5.4),T.Hillman (75-87)
8,2007,Kansas City Royals,AL Central,162,69,93,0,.426,.456,5th of 5,27.0,,706,778,27.9,27.1,45,23,G.Meche (4.1),B.Bell (69-93)
9,2006,Kansas City Royals,AL Central,162,62,100,0,.383,.388,5th of 5,34.0,,757,971,29.6,27.7,55,31,M.Teahen (3.7),B.Bell (62-100)
10,2005,Kansas City Royals,AL Central,162,56,106,0,.346,.371,5th of 5,43.0,,701,935,27.9,25.7,46,22,D.DeJesus (4.4),T.Pena (8-25) B.Schaefer (5-12) and B.Bell (43-69)
11,2004,Kansas City Royals,AL Central,162,58,104,0,.358,.397,5th of 5,34.0,,720,905,28.9,27.4,58,25,Z.Greinke (3.7),T.Pena (58-104)
12,2003,Kansas City Royals,AL Central,162,83,79,0,.512,.483,3rd of 5,7.0,,836,867,29.2,28.0,53,29,D.May (5.9),T.Pena (83-79)
13,2002,Kansas City Royals,AL Central,162,62,100,0,.383,.414,4th of 5,32.5,,737,891,29.2,27.8,52,26,P.Byrd (5.5),T.Muser (8-15) J.Mizerock (5-8) and T.Pena (49-77)
14,2001,Kansas City Royals,AL Central,162,65,97,0,.401,.426,5th of 5,26.0,,729,858,28.2,27.3,44,19,C.Beltran (6.4),T.Muser (65-97)
15,2000,Kansas City Royals,AL Central,162,77,85,0,.475,.474,4th of 5,18.0,,879,930,27.5,25.8,44,24,J.Damon (6.1),T.Muser (77-85)
16,1999,Kansas City Royals,AL Central,161,64,97,0,.398,.467,4th of 5,32.5,,856,921,27.0,26.9,50,27,J.Damon (5.4),T.Muser (64-97)
17,1998,Kansas City Royals,AL Central,161,72,89,0,.447,.396,3rd of 5,16.5,,714,899,28.7,28.8,51,22,J.Offerman (5.3),T.Muser (72-89)
18,1997,Kansas City Royals,AL Central,161,67,94,0,.416,.457,5th of 5,19.0,,747,820,28.8,27.6,51,25,K.Appier (5.5),B.Boone (36-46) and T.Muser (31-48)
19,1996,Kansas City Royals,AL Central,161,75,86,0,.466,.476,5th of 5,24.0,,746,786,27.2,29.0,40,19,K.Appier (6.1),B.Boone (75-86)
20,1995,Kansas City Royals,AL Central,144,70,74,0,.486,.457,2nd of 5,30.0,,629,691,29.1,28.0,51,21,K.Appier (4.6),B.Boone (70-74)
21,1994,Kansas City Royals,AL Central,115,64,51,0,.557,.535,3rd of 5,4.0,,574,532,29.9,28.0,31,15,D.Cone (6.8),H.McRae (64-51)
22,1993,Kansas City Royals,AL West,162,84,78,0,.519,.487,3rd of 7,10.0,,675,694,30.0,27.4,43,20,K.Appier (9.3),H.McRae (84-78)
23,1992,Kansas City Royals,AL West,162,72,90,0,.444,.459,5th of 7,24.0,,610,667,28.9,27.1,42,22,K.Appier (8.1),H.McRae (72-90)
24,1991,Kansas City Royals,AL West,162,82,80,0,.506,.503,6th of 7,13.0,,727,722,28.6,27.6,45,19,B.Saberhagen (5.1),J.Wathan (15-22) B.Schaefer (1-0) and H.McRae (66-58)
25,1990,Kansas City Royals,AL West,161,75,86,0,.466,.499,6th of 7,27.5,,707,709,29.7,27.3,46,23,K.Appier (5.3),J.Wathan (75-86)
26,1989,Kansas City Royals,AL West,162,92,70,0,.568,.538,2nd of 7,7.0,,690,635,30.3,27.7,36,17,B.Saberhagen (9.7),J.Wathan (92-70)
27,1988,Kansas City Royals,AL West,161,84,77,0,.522,.538,3rd of 7,19.5,,704,648,29.5,29.0,41,17,M.Gubicza (7.8),J.Wathan (84-77)
28,1987,Kansas City Royals,AL West,162,83,79,0,.512,.516,2nd of 7,2.0,,715,691,29.3,27.4,38,15,B.Saberhagen (8.0),B.Gardner (62-64) and J.Wathan (21-15)
29,1986,Kansas City Royals,AL West,162,76,86,0,.469,.487,3rd of 7,16.0,,654,673,30.8,27.3,36,13,F.White (4.0),D.Howser (40-48) and M.Ferraro (36-38)
30,1985,Kansas City Royals,AL West,162,91,71,0,.562,.533,1st of 7,--,Won WS (4-3),687,639,30.7,26.1,35,14,G.Brett (8.3),D.Howser (91-71)
31,1984,Kansas City Royals,AL West,162,84,78,0,.519,.491,1st of 7,--,Lost ALCS (3-0),673,686,29.4,26.9,36,13,B.Black (4.7),D.Howser (84-78)
32,1983,Kansas City Royals,AL West,163,79,83,1,.488,.456,2nd of 7,20.0,,696,767,30.3,32.2,38,18,D.Quisenberry (5.5),D.Howser (79-83)
33,1982,Kansas City Royals,AL West,162,90,72,0,.556,.541,2nd of 7,3.0,,784,717,30.4,30.9,39,15,W.Wilson (6.3),D.Howser (90-72)
34,1981,Kansas City Royals,AL West,103,50,53,0,.485,.491,4th of 7,11.0,Lost LDS (3-0),397,405,29.2,28.8,35,13,W.Wilson (4.1),J.Frey (30-40) and D.Howser (20-13)
35,1980,Kansas City Royals,AL West,162,97,65,0,.599,.570,1st of 7,--,Lost WS (4-2),809,694,27.7,29.1,37,15,G.Brett (9.4),J.Frey (97-65)
36,1979,Kansas City Royals,AL West,162,85,77,0,.525,.519,2nd of 7,3.0,,851,816,27.9,28.9,38,17,G.Brett (8.6),W.Herzog (85-77)
37,1978,Kansas City Royals,AL West,162,92,70,0,.568,.572,1st of 7,--,Lost ALCS (3-1),743,634,27.3,28.7,38,15,A.Otis (7.4),W.Herzog (92-70)
38,1977,Kansas City Royals,AL West,162,102,60,0,.630,.605,1st of 7,--,Lost ALCS (3-2),822,651,27.6,28.4,33,13,G.Brett (7.6),W.Herzog (102-60)
39,1976,Kansas City Royals,AL West,162,90,72,0,.556,.570,1st of 6,--,Lost ALCS (3-2),713,611,27.1,27.6,37,17,G.Brett (7.5),W.Herzog (90-72)
40,1975,Kansas City Royals,AL West,162,91,71,0,.562,.541,2nd of 6,7.0,,710,649,28.1,28.1,32,14,J.Mayberry (7.2),J.McKeon (50-46) and W.Herzog (41-25)
41,1974,Kansas City Royals,AL West,162,77,85,0,.475,.503,5th of 6,13.0,,667,662,27.5,28.6,34,13,S.Busby (6.6),J.McKeon (77-85)
42,1973,Kansas City Royals,AL West,162,88,74,0,.543,.502,2nd of 6,6.0,,755,752,27.6,25.9,39,16,J.Mayberry (5.2),J.McKeon (88-74)
43,1972,Kansas City Royals,AL West,154,76,78,0,.494,.528,4th of 6,16.5,,580,545,27.7,27.4,34,15,J.Mayberry (4.9),B.Lemon (76-78)
44,1971,Kansas City Royals,AL West,161,85,76,0,.528,.529,2nd of 6,16.0,,603,566,27.2,26.7,35,16,A.Otis (5.3),B.Lemon (85-76)
45,1970,Kansas City Royals,AL West,162,65,97,0,.401,.435,4th of 6,33.0,,611,705,26.4,26.2,38,17,B.Johnson (4.3),C.Metro (19-33) and B.Lemon (46-64)
