
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Milwaukee Brewers,NL Central,162,82,80,0,.506,.495,3rd of 5,8.0,,650,657,28.8,29.0,40,21,J.Lucroy (6.7),R.Roenicke (82-80)
2,2013,Milwaukee Brewers,NL Central,162,74,88,0,.457,.468,4th of 5,23.0,,640,687,27.9,28.8,40,21,C.Gomez (8.9),R.Roenicke (74-88)
3,2012,Milwaukee Brewers,NL Central,162,83,79,0,.512,.526,3rd of 6,14.0,,776,733,29.2,29.0,46,23,R.Braun (6.9),R.Roenicke (83-79)
4,2011,Milwaukee Brewers,NL Central,162,96,66,0,.593,.556,1st of 6,--,Lost NLCS (4-2),721,638,28.9,29.3,48,22,R.Braun (7.8),R.Roenicke (96-66)
5,2010,Milwaukee Brewers,NL Central,162,77,85,0,.475,.468,3rd of 6,14.0,,750,804,27.8,29.2,43,25,R.Braun (5.7),K.Macha (77-85)
6,2009,Milwaukee Brewers,NL Central,162,80,82,0,.494,.481,3rd of 6,11.0,,785,818,29.3,30.0,45,23,P.Fielder (6.3),K.Macha (80-82)
7,2008,Milwaukee Brewers,NL Central,162,90,72,0,.556,.539,2nd of 6,7.5,Lost LDS (3-1),750,689,28.7,29.9,44,20,C.Sabathia (5.2),N.Yost (83-67) and D.Sveum (7-5)
8,2007,Milwaukee Brewers,NL Central,162,83,79,0,.512,.515,2nd of 6,2.0,,801,776,27.7,29.1,40,21,C.Hart (4.7),N.Yost (83-79)
9,2006,Milwaukee Brewers,NL Central,162,75,87,0,.463,.440,4th of 6,8.5,,730,833,28.8,28.3,49,27,B.Hall (5.8),N.Yost (75-87)
10,2005,Milwaukee Brewers,NL Central,162,81,81,0,.500,.519,3rd of 6,19.0,,726,697,28.4,28.0,39,19,G.Jenkins (4.6),N.Yost (81-81)
11,2004,Milwaukee Brewers,NL Central,161,67,94,0,.416,.420,6th of 6,37.5,,634,757,28.5,27.2,41,22,B.Sheets (7.3),N.Yost (67-94)
12,2003,Milwaukee Brewers,NL Central,162,68,94,0,.420,.409,6th of 6,20.0,,714,873,29.8,27.6,42,23,S.Podsednik (3.6),N.Yost (68-94)
13,2002,Milwaukee Brewers,NL Central,162,56,106,0,.346,.379,6th of 6,41.0,,627,821,29.9,26.8,49,25,J.Hernandez (4.4),D.Lopes (3-12) and J.Royster (53-94)
14,2001,Milwaukee Brewers,NL Central,162,68,94,0,.420,.461,4th of 6,25.0,,740,806,29.4,27.3,46,24,R.Belliard (3.5),D.Lopes (68-94)
15,2000,Milwaukee Brewers,NL Central,163,73,89,1,.451,.450,3rd of 6,22.0,,740,826,28.8,27.4,46,24,J.D'Amico (4.8),D.Lopes (73-89)
16,1999,Milwaukee Brewers,NL Central,161,74,87,0,.460,.462,5th of 6,22.5,,815,886,28.1,28.2,44,24,J.Cirillo (4.8),P.Garner (52-60) and J.Lefebvre (22-27)
17,1998,Milwaukee Brewers,NL Central,162,74,88,0,.457,.437,5th of 6,28.0,,707,812,28.3,28.1,43,23,J.Cirillo (5.9),P.Garner (74-88)
18,1997,Milwaukee Brewers,AL Central,161,78,83,0,.484,.461,3rd of 5,8.0,,681,742,28.1,28.3,44,21,J.Cirillo (5.3),P.Garner (78-83)
19,1996,Milwaukee Brewers,AL Central,162,80,82,0,.494,.497,3rd of 5,19.5,,894,899,27.8,27.2,48,24,B.McDonald (5.4),P.Garner (80-82)
20,1995,Milwaukee Brewers,AL Central,144,65,79,0,.451,.496,4th of 5,35.0,,740,747,27.9,27.3,41,22,R.Bones (3.4),P.Garner (65-79)
21,1994,Milwaukee Brewers,AL Central,115,53,62,0,.461,.469,5th of 5,15.0,,547,586,28.0,28.3,36,15,R.Bones (4.0),P.Garner (53-62)
