
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Oakland Athletics,AL West,162,88,74,0,.543,.609,2nd of 5,10.0,Lost ALWC (1-0),729,572,29.5,28.2,45,22,J.Donaldson (7.4),B.Melvin (88-74)
2,2013,Oakland Athletics,AL West,162,96,66,0,.593,.593,1st of 5,--,Lost LDS (3-2),767,625,28.3,28.3,44,18,J.Donaldson (8.0),B.Melvin (96-66)
3,2012,Oakland Athletics,AL West,162,94,68,0,.580,.568,1st of 4,--,Lost LDS (3-2),713,614,27.7,27.9,50,25,J.Reddick (5.0),B.Melvin (94-68)
4,2011,Oakland Athletics,AL West,162,74,88,0,.457,.477,3rd of 4,22.0,,645,679,29.0,27.4,48,26,G.Gonzalez (4.4),B.Geren (27-36) and B.Melvin (47-52)
5,2010,Oakland Athletics,AL West,162,81,81,0,.500,.526,2nd of 4,9.0,,663,626,27.7,26.0,49,23,D.Barton (5.5),B.Geren (81-81)
6,2009,Oakland Athletics,AL West,162,75,87,0,.463,.499,4th of 4,22.0,,759,761,29.0,25.7,51,26,A.Bailey (3.7),B.Geren (75-87)
7,2008,Oakland Athletics,AL West,161,75,86,0,.466,.470,3rd of 4,24.5,,646,690,27.2,26.5,51,24,M.Ellis (4.0),B.Geren (75-86)
8,2007,Oakland Athletics,AL West,162,76,86,0,.469,.490,3rd of 4,18.0,,741,758,28.8,26.9,54,24,M.Ellis (4.8),B.Geren (76-86)
9,2006,Oakland Athletics,AL West,162,93,69,0,.574,.527,1st of 4,--,Lost ALCS (4-0),771,727,29.5,27.0,41,21,B.Zito (4.4),K.Macha (93-69)
10,2005,Oakland Athletics,AL West,162,88,74,0,.543,.573,2nd of 4,7.0,,772,658,28.6,26.6,41,20,E.Chavez (4.8),K.Macha (88-74)
11,2004,Oakland Athletics,AL West,162,91,71,0,.562,.530,2nd of 4,1.0,,793,742,29.6,28.4,36,17,E.Chavez (5.5),K.Macha (91-71)
12,2003,Oakland Athletics,AL West,162,96,66,0,.593,.581,1st of 4,--,Lost LDS (3-2),768,643,28.4,27.4,41,18,T.Hudson (7.5),K.Macha (96-66)
13,2002,Oakland Athletics,AL West,162,103,59,0,.636,.591,1st of 4,--,Lost LDS (3-2),800,654,28.6,27.4,41,17,B.Zito (7.1),A.Howe (103-59)
14,2001,Oakland Athletics,AL West,162,102,60,0,.630,.640,2nd of 4,14.0,Lost LDS (3-2),884,645,27.5,28.0,42,16,J.Giambi (9.1),A.Howe (102-60)
15,2000,Oakland Athletics,AL West,161,91,70,0,.565,.569,1st of 4,--,Lost LDS (3-2),947,813,27.5,29.5,44,21,J.Giambi (7.7),A.Howe (91-70)
16,1999,Oakland Athletics,AL West,162,87,75,0,.537,.525,2nd of 4,8.0,,893,846,28.9,31.4,42,23,J.Giambi (5.9),A.Howe (87-75)
17,1998,Oakland Athletics,AL West,162,74,88,0,.457,.466,4th of 4,14.0,,804,866,29.0,31.0,45,19,K.Rogers (7.5),A.Howe (74-88)
18,1997,Oakland Athletics,AL West,162,65,97,0,.401,.403,4th of 4,25.0,,764,946,28.1,27.8,49,26,M.McGwire (3.1),A.Howe (65-97)
19,1996,Oakland Athletics,AL West,162,78,84,0,.481,.480,3rd of 4,12.0,,861,900,28.2,27.1,43,20,M.McGwire (6.4),A.Howe (78-84)
