
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Tampa Bay Rays,AL East,162,77,85,0,.475,.490,4th of 5,19.0,,612,625,29.3,28.4,43,23,B.Zobrist (5.0),J.Maddon (77-85)
2,2013,Tampa Bay Rays,AL East,163,92,71,0,.564,.537,2nd of 5,5.5,Lost LDS (3-1),700,646,29.6,29.0,42,21,E.Longoria (6.7),J.Maddon (92-71)
3,2012,Tampa Bay Rays,AL East,162,90,72,0,.556,.586,3rd of 5,5.0,,697,577,29.7,28.1,43,18,D.Price (6.9),J.Maddon (90-72)
4,2011,Tampa Bay Rays,AL East,162,91,71,0,.562,.564,2nd of 5,6.0,Lost LDS (3-1),707,614,28.3,27.8,42,21,B.Zobrist (8.7),J.Maddon (91-71)
5,2010,Tampa Bay Rays,AL East,162,96,66,0,.593,.596,1st of 5,--,Lost LDS (3-2),802,649,27.7,28.0,37,17,E.Longoria (8.1),J.Maddon (96-66)
6,2009,Tampa Bay Rays,AL East,162,84,78,0,.519,.529,3rd of 5,19.0,,803,754,28.0,28.4,41,21,B.Zobrist (8.6),J.Maddon (84-78)
7,2008,Tampa Bay Rays,AL East,162,97,65,0,.599,.565,1st of 5,--,Lost WS (4-1),774,671,27.1,27.5,46,21,C.Pena (5.1),J.Maddon (97-65)
8,2007,Tampa Bay Devil Rays,AL East,162,66,96,0,.407,.415,5th of 5,30.0,,782,944,26.1,26.9,45,24,C.Pena (7.2),J.Maddon (66-96)
9,2006,Tampa Bay Devil Rays,AL East,162,61,101,0,.377,.402,5th of 5,36.0,,689,856,27.3,27.0,49,25,C.Crawford (4.5),J.Maddon (61-101)
10,2005,Tampa Bay Devil Rays,AL East,162,67,95,0,.414,.400,5th of 5,28.0,,750,936,27.5,27.4,43,21,C.Crawford (4.4),L.Piniella (67-95)
11,2004,Tampa Bay Devil Rays,AL East,161,70,91,0,.435,.425,4th of 5,30.5,,714,842,28.1,27.5,48,24,C.Crawford (4.9),L.Piniella (70-91)
12,2003,Tampa Bay Devil Rays,AL East,162,63,99,0,.389,.420,5th of 5,38.0,,715,852,26.4,26.4,51,24,A.Huff (4.0),L.Piniella (63-99)
13,2002,Tampa Bay Devil Rays,AL East,161,55,106,0,.342,.362,5th of 5,48.0,,673,918,27.0,26.9,43,22,R.Winn (4.9),H.McRae (55-106)
14,2001,Tampa Bay Devil Rays,AL East,162,62,100,0,.383,.376,5th of 5,34.0,,672,887,28.0,26.9,46,24,T.Sturtze (3.3),L.Rothschild (4-10) and H.McRae (58-90)
15,2000,Tampa Bay Devil Rays,AL East,161,69,92,0,.429,.437,5th of 5,18.0,,733,842,30.1,29.3,51,24,A.Lopez (3.2),L.Rothschild (69-92)
16,1999,Tampa Bay Devil Rays,AL East,162,69,93,0,.426,.424,5th of 5,29.0,,772,913,30.1,29.3,46,24,F.McGriff (4.0),L.Rothschild (69-93)
17,1998,Tampa Bay Devil Rays,AL East,162,63,99,0,.389,.413,5th of 5,51.0,,620,751,29.0,27.5,42,22,R.Arrojo (4.1),L.Rothschild (63-99)
