
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Washington Nationals,NL East,162,96,66,0,.593,.596,1st of 5,--,Lost LDS (3-1),686,555,28.8,28.3,40,18,A.Rendon (6.5),M.Williams (96-66)
2,2013,Washington Nationals,NL East,162,86,76,0,.531,.521,2nd of 5,10.0,,656,626,27.7,27.7,44,21,J.Werth (4.9),D.Johnson (86-76)
3,2012,Washington Nationals,NL East,162,98,64,0,.605,.594,1st of 5,--,Lost LDS (3-2),731,594,27.2,27.0,43,19,J.Zimmermann (5.3),D.Johnson (98-64)
4,2011,Washington Nationals,NL East,161,80,81,0,.497,.486,3rd of 5,21.5,,624,643,28.4,27.6,44,24,T.Clippard (3.4),J.Riggleman (38-37) J.McLaren (2-1) and D.Johnson (40-43)
5,2010,Washington Nationals,NL East,162,69,93,0,.426,.443,5th of 5,28.0,,655,742,29.1,28.0,46,26,R.Zimmerman (6.2),J.Riggleman (69-93)
6,2009,Washington Nationals,NL East,162,59,103,0,.364,.406,5th of 5,34.0,,710,874,28.4,27.4,55,30,R.Zimmerman (7.3),M.Acta (26-61) and J.Riggleman (33-42)
7,2008,Washington Nationals,NL East,161,59,102,0,.366,.387,5th of 5,32.5,,641,825,27.7,27.3,50,25,C.Guzman (4.6),M.Acta (59-102)
8,2007,Washington Nationals,NL East,162,73,89,0,.451,.431,4th of 5,16.0,,673,783,27.9,27.5,47,26,R.Zimmerman (4.6),M.Acta (73-89)
9,2006,Washington Nationals,NL East,162,71,91,0,.438,.429,5th of 5,26.0,,746,872,28.5,28.9,57,29,A.Soriano (6.1),F.Robinson (71-91)
10,2005,Washington Nationals,NL East,162,81,81,0,.500,.476,5th of 5,9.0,,639,673,29.3,28.9,55,25,J.Patterson (4.5),F.Robinson (81-81)
11,2004,Montreal Expos,NL East,162,67,95,0,.414,.413,5th of 5,29.0,,635,769,27.5,26.5,46,22,L.Hernandez (5.8),F.Robinson (67-95)
12,2003,Montreal Expos,NL East,162,83,79,0,.512,.497,4th of 5,18.0,,711,716,27.7,26.7,43,25,L.Hernandez (6.4),F.Robinson (83-79)
13,2002,Montreal Expos,NL East,162,83,79,0,.512,.511,2nd of 5,19.0,,735,718,28.2,27.7,43,20,V.Guerrero (7.0),F.Robinson (83-79)
14,2001,Montreal Expos,NL East,162,68,94,0,.420,.413,5th of 5,20.0,,670,812,27.6,27.4,47,23,J.Vazquez (6.2),F.Alou (21-32) and J.Torborg (47-62)
15,2000,Montreal Expos,NL East,162,67,95,0,.414,.409,4th of 5,28.0,,738,902,26.2,26.1,49,27,V.Guerrero (5.9),F.Alou (67-95)
16,1999,Montreal Expos,NL East,162,68,94,0,.420,.422,4th of 5,35.0,,718,853,25.9,25.5,44,21,V.Guerrero (4.4),F.Alou (68-94)
17,1998,Montreal Expos,NL East,162,65,97,0,.401,.412,4th of 5,41.0,,644,783,25.9,25.7,41,19,V.Guerrero (7.4),F.Alou (65-97)
18,1997,Montreal Expos,NL East,162,78,84,0,.481,.469,4th of 5,23.0,,691,740,27.7,26.4,41,21,P.Martinez (8.8),F.Alou (78-84)
19,1996,Montreal Expos,NL East,162,88,74,0,.543,.547,2nd of 5,8.0,,741,668,27.4,27.5,39,18,J.Fassero (5.3),F.Alou (88-74)
20,1995,Montreal Expos,NL East,144,66,78,0,.458,.488,5th of 5,24.0,,621,638,26.2,27.6,45,21,P.Martinez (4.1),F.Alou (66-78)
21,1994,Montreal Expos,NL East,114,74,40,0,.649,.614,1st of 5,--,,585,454,26.2,26.2,32,16,M.Alou (5.1),F.Alou (74-40)
22,1993,Montreal Expos,NL East,163,94,68,1,.580,.532,2nd of 7,3.0,,732,682,25.7,27.9,48,22,M.Grissom (5.2),F.Alou (94-68)
23,1992,Montreal Expos,NL East,162,87,75,0,.537,.550,2nd of 6,9.0,,648,581,27.4,28.0,47,21,M.Grissom (5.4),T.Runnells (17-20) and F.Alou (70-55)
