
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Los Angeles Dodgers,NL West,162,94,68,0,.580,.569,1st of 5,--,Lost LDS (3-1),718,617,29.3,29.9,49,25,C.Kershaw (8.0),D.Mattingly (94-68)
2,2013,Los Angeles Dodgers,NL West,162,92,70,0,.568,.550,1st of 5,--,Lost NLCS (4-2),649,582,30.6,28.1,49,27,C.Kershaw (8.4),D.Mattingly (92-70)
3,2012,Los Angeles Dodgers,NL West,162,86,76,0,.531,.530,2nd of 5,8.0,,637,597,30.4,29.0,50,25,C.Kershaw (6.6),D.Mattingly (86-76)
4,2011,Los Angeles Dodgers,NL West,161,82,79,0,.509,.523,3rd of 5,11.5,,644,612,29.8,28.6,48,21,M.Kemp (8.2),D.Mattingly (82-79)
5,2010,Los Angeles Dodgers,NL West,162,80,82,0,.494,.483,4th of 5,12.0,,667,692,30.2,28.1,49,24,C.Kershaw (5.1),J.Torre (80-82)
6,2009,Los Angeles Dodgers,NL West,162,95,67,0,.586,.610,1st of 5,--,Lost NLCS (4-1),780,611,29.7,27.8,47,25,M.Kemp (4.8),J.Torre (95-67)
7,2008,Los Angeles Dodgers,NL West,162,84,78,0,.519,.535,1st of 5,--,Lost NLCS (4-1),700,648,28.5,29.5,46,22,C.Billingsley (4.5),J.Torre (84-78)
8,2007,Los Angeles Dodgers,NL West,162,82,80,0,.506,.505,4th of 5,8.0,,735,727,29.7,31.1,45,22,B.Penny (6.6),G.Little (82-80)
9,2006,Los Angeles Dodgers,NL West,162,88,74,0,.543,.540,2nd of 5,--,Lost LDS (3-0),820,751,29.9,30.4,50,22,D.Lowe (4.6),G.Little (88-74)
10,2005,Los Angeles Dodgers,NL West,162,71,91,0,.438,.456,4th of 5,11.0,,685,755,28.7,28.5,44,20,J.Kent (3.7),J.Tracy (71-91)
11,2004,Los Angeles Dodgers,NL West,162,93,69,0,.574,.549,1st of 5,--,Lost LDS (3-1),761,684,28.9,29.5,43,22,A.Beltre (9.5),J.Tracy (93-69)
12,2003,Los Angeles Dodgers,NL West,162,85,77,0,.525,.515,2nd of 5,15.5,,574,556,29.9,31.2,44,19,K.Brown (4.5),J.Tracy (85-77)
13,2002,Los Angeles Dodgers,NL West,162,92,70,0,.568,.547,3rd of 5,6.0,,713,643,30.0,31.0,41,19,S.Green (6.9),J.Tracy (92-70)
14,2001,Los Angeles Dodgers,NL West,162,86,76,0,.531,.509,3rd of 5,6.0,,758,744,30.2,30.5,41,21,S.Green (6.9),J.Tracy (86-76)
15,2000,Los Angeles Dodgers,NL West,162,86,76,0,.531,.541,2nd of 5,11.0,,798,729,29.6,29.5,46,21,K.Brown (6.8),D.Johnson (86-76)
16,1999,Los Angeles Dodgers,NL West,162,77,85,0,.475,.503,3rd of 5,23.0,,793,787,29.2,28.6,43,21,K.Brown (5.5),D.Johnson (77-85)
17,1998,Los Angeles Dodgers,NL West,162,83,79,0,.512,.494,3rd of 5,15.0,,669,678,28.3,27.6,53,25,G.Sheffield (3.4),B.Russell (36-38) and G.Hoffman (47-41)
18,1997,Los Angeles Dodgers,NL West,162,88,74,0,.543,.564,2nd of 4,2.0,,742,645,29.3,28.8,44,16,M.Piazza (8.7),B.Russell (88-74)
19,1996,Los Angeles Dodgers,NL West,162,90,72,0,.556,.534,2nd of 4,1.0,Lost LDS (3-0),703,652,27.9,28.2,40,15,M.Piazza (5.4),T.Lasorda (41-35) and B.Russell (49-37)
20,1995,Los Angeles Dodgers,NL West,144,78,66,0,.542,.518,1st of 4,--,Lost LDS (3-0),634,609,27.4,27.7,49,21,M.Piazza (6.2),T.Lasorda (78-66)
21,1994,Los Angeles Dodgers,NL West,114,58,56,0,.509,.520,1st of 4,--,,532,509,28.7,30.0,35,16,K.Gross (4.0),T.Lasorda (58-56)
22,1993,Los Angeles Dodgers,NL West,162,81,81,0,.500,.509,4th of 7,23.0,,675,662,28.8,29.1,35,15,M.Piazza (7.0),T.Lasorda (81-81)
23,1992,Los Angeles Dodgers,NL West,162,63,99,0,.389,.432,6th of 6,35.0,,548,636,28.4,31.2,36,14,B.Butler (4.8),T.Lasorda (63-99)
24,1991,Los Angeles Dodgers,NL West,162,93,69,0,.574,.574,2nd of 6,1.0,,665,565,30.2,30.2,39,16,B.Butler (5.1),T.Lasorda (93-69)
25,1990,Los Angeles Dodgers,NL West,162,86,76,0,.531,.528,2nd of 6,5.0,,728,685,29.7,28.2,46,21,E.Murray (5.1),T.Lasorda (86-76)
26,1989,Los Angeles Dodgers,NL West,160,77,83,0,.481,.515,4th of 6,14.0,,554,536,29.8,28.5,40,18,O.Hershiser (7.3),T.Lasorda (77-83)
27,1988,Los Angeles Dodgers,NL West,162,94,67,1,.584,.565,1st of 6,--,Won WS (4-1),628,544,29.0,29.2,38,19,O.Hershiser (7.1),T.Lasorda (94-67)
28,1987,Los Angeles Dodgers,NL West,162,73,89,0,.451,.472,4th of 6,17.0,,635,675,28.2,27.9,48,18,B.Welch (7.5),T.Lasorda (73-89)
29,1986,Los Angeles Dodgers,NL West,162,73,89,0,.451,.472,5th of 6,23.0,,638,679,28.0,27.8,38,14,F.Valenzuela (6.2),T.Lasorda (73-89)
30,1985,Los Angeles Dodgers,NL West,162,95,67,0,.586,.574,1st of 6,--,Lost NLCS (4-2),682,579,27.7,28.0,41,14,P.Guerrero (7.9),T.Lasorda (95-67)
31,1984,Los Angeles Dodgers,NL West,162,79,83,0,.488,.484,4th of 6,13.0,,580,600,26.8,27.5,38,13,A.Pena (5.1),T.Lasorda (79-83)
32,1983,Los Angeles Dodgers,NL West,163,91,71,1,.562,.533,1st of 6,--,Lost NLCS (3-1),654,609,28.1,27.1,40,16,P.Guerrero (5.5),T.Lasorda (91-71)
