
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Minnesota Twins,AL Central,162,70,92,0,.432,.462,5th of 5,20.0,,715,777,27.6,29.2,48,23,B.Dozier (5.2),R.Gardenhire (70-92)
2,2013,Minnesota Twins,AL Central,162,66,96,0,.407,.388,4th of 5,27.0,,614,788,28.3,28.3,44,23,J.Mauer (5.3),R.Gardenhire (66-96)
3,2012,Minnesota Twins,AL Central,162,66,96,0,.407,.422,5th of 5,22.0,,701,832,28.8,27.8,47,25,D.Span (5.0),R.Gardenhire (66-96)
4,2011,Minnesota Twins,AL Central,162,63,99,0,.389,.383,5th of 5,32.0,,619,804,27.6,28.5,45,24,S.Baker (4.4),R.Gardenhire (63-99)
5,2010,Minnesota Twins,AL Central,162,94,68,0,.580,.569,1st of 5,--,Lost LDS (3-0),781,671,28.5,28.6,42,21,J.Mauer (5.9),R.Gardenhire (94-68)
6,2009,Minnesota Twins,AL Central,163,87,76,0,.534,.530,1st of 5,--,Lost LDS (3-0),817,765,27.7,27.9,42,24,J.Mauer (7.8),R.Gardenhire (87-76)
7,2008,Minnesota Twins,AL Central,163,88,75,0,.540,.549,2nd of 5,1.0,,829,745,26.4,27.5,40,19,J.Mauer (5.6),R.Gardenhire (88-75)
8,2007,Minnesota Twins,AL Central,162,79,83,0,.488,.496,3rd of 5,17.0,,718,725,28.4,27.4,42,19,J.Santana (5.2),R.Gardenhire (79-83)
9,2006,Minnesota Twins,AL Central,162,96,66,0,.593,.572,1st of 5,--,Lost LDS (3-0),801,683,28.2,26.9,39,17,J.Santana (7.5),R.Gardenhire (96-66)
10,2005,Minnesota Twins,AL Central,162,83,79,0,.512,.518,3rd of 5,16.0,,688,662,27.6,27.9,37,15,J.Santana (7.2),R.Gardenhire (83-79)
11,2004,Minnesota Twins,AL Central,162,92,70,0,.568,.540,1st of 5,--,Lost LDS (3-1),780,715,27.9,28.2,42,18,J.Santana (8.7),R.Gardenhire (92-70)
12,2003,Minnesota Twins,AL Central,162,90,72,0,.556,.525,1st of 5,--,Lost LDS (3-1),801,758,27.3,29.7,42,20,A.Pierzynski (4.5),R.Gardenhire (90-72)
13,2002,Minnesota Twins,AL Central,161,94,67,0,.584,.535,1st of 5,--,Lost ALCS (4-1),768,712,26.8,28.8,42,19,J.Jones (5.4),R.Gardenhire (94-67)
14,2001,Minnesota Twins,AL Central,162,85,77,0,.525,.503,2nd of 5,6.0,,771,766,26.4,27.4,42,21,J.Mays (6.6),T.Kelly (85-77)
15,2000,Minnesota Twins,AL Central,162,69,93,0,.426,.426,5th of 5,26.0,,748,880,26.5,26.6,41,17,B.Radke (6.2),T.Kelly (69-93)
16,1999,Minnesota Twins,AL Central,161,63,97,1,.394,.406,5th of 5,33.0,,686,845,26.8,26.3,37,18,B.Radke (6.5),T.Kelly (63-97)
17,1998,Minnesota Twins,AL Central,162,70,92,0,.432,.451,4th of 5,19.0,,734,818,29.8,28.7,38,17,B.Radke (5.2),T.Kelly (70-92)
