
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Philadelphia Phillies,NL East,162,73,89,0,.451,.452,5th of 5,23.0,,619,687,30.8,30.1,49,26,C.Hamels (6.9),R.Sandberg (73-89)
2,2013,Philadelphia Phillies,NL East,162,73,89,0,.451,.407,4th of 5,23.0,,610,749,30.0,28.7,51,27,C.Lee (7.5),C.Manuel (53-67) and R.Sandberg (20-22)
3,2012,Philadelphia Phillies,NL East,162,81,81,0,.500,.503,3rd of 5,17.0,,684,680,31.1,29.1,49,24,C.Hamels (5.2),C.Manuel (81-81)
4,2011,Philadelphia Phillies,NL East,162,102,60,0,.630,.633,1st of 5,--,Lost LDS (3-2),713,529,31.4,29.2,42,23,C.Lee (9.2),C.Manuel (102-60)
5,2010,Philadelphia Phillies,NL East,162,97,65,0,.599,.585,1st of 5,--,Lost NLCS (4-2),772,640,31.8,31.1,42,21,R.Halladay (8.1),C.Manuel (97-65)
6,2009,Philadelphia Phillies,NL East,162,93,69,0,.574,.566,1st of 5,--,Lost WS (4-2),820,709,31.3,31.2,41,22,C.Utley (8.2),C.Manuel (93-69)
7,2008,Philadelphia Phillies,NL East,162,92,70,0,.568,.573,1st of 5,--,Won WS (4-1),799,680,30.1,30.6,40,18,C.Utley (9.0),C.Manuel (92-70)
8,2007,Philadelphia Phillies,NL East,162,89,73,0,.549,.538,1st of 5,--,Lost LDS (3-0),892,821,28.8,30.6,46,28,C.Utley (7.8),C.Manuel (89-73)
9,2006,Philadelphia Phillies,NL East,162,85,77,0,.525,.529,2nd of 5,12.0,,865,812,29.3,30.5,45,23,C.Utley (7.3),C.Manuel (85-77)
10,2005,Philadelphia Phillies,NL East,162,88,74,0,.543,.548,2nd of 5,2.0,,807,726,30.0,29.7,40,19,C.Utley (7.2),C.Manuel (88-74)
11,2004,Philadelphia Phillies,NL East,162,86,76,0,.531,.533,2nd of 5,10.0,,840,781,29.3,29.8,39,21,B.Abreu (6.5),L.Bowa (85-75) and G.Varsho (1-1)
12,2003,Philadelphia Phillies,NL East,162,86,76,0,.531,.558,3rd of 5,15.0,,791,697,28.3,29.0,38,20,B.Abreu (5.3),L.Bowa (86-76)
13,2002,Philadelphia Phillies,NL East,161,80,81,0,.497,.491,3rd of 5,21.5,,710,724,27.5,28.5,39,20,B.Abreu (5.8),L.Bowa (80-81)
14,2001,Philadelphia Phillies,NL East,162,86,76,0,.531,.517,2nd of 5,2.0,,746,719,26.9,28.9,46,22,S.Rolen (5.5),L.Bowa (86-76)
15,2000,Philadelphia Phillies,NL East,162,65,97,0,.401,.428,5th of 5,30.0,,708,830,28.5,28.7,51,27,B.Abreu (6.2),T.Francona (65-97)
16,1999,Philadelphia Phillies,NL East,162,77,85,0,.475,.497,3rd of 5,26.0,,841,846,28.2,28.3,41,22,B.Abreu (6.1),T.Francona (77-85)
17,1998,Philadelphia Phillies,NL East,162,75,87,0,.463,.443,3rd of 5,31.0,,713,808,27.1,29.3,40,21,S.Rolen (6.6),T.Francona (75-87)
18,1997,Philadelphia Phillies,NL East,162,68,94,0,.420,.397,5th of 5,33.0,,668,840,27.8,27.9,46,23,C.Schilling (6.3),T.Francona (68-94)
19,1996,Philadelphia Phillies,NL East,162,67,95,0,.414,.412,5th of 5,29.0,,650,790,28.4,27.7,54,25,C.Schilling (4.8),J.Fregosi (67-95)
20,1995,Philadelphia Phillies,NL East,144,69,75,0,.479,.469,2nd of 5,21.0,,615,658,29.7,27.1,50,26,R.Bottalico (2.9),J.Fregosi (69-75)
21,1994,Philadelphia Phillies,NL East,115,54,61,0,.470,.522,4th of 5,20.5,,521,497,29.8,29.3,40,20,D.Jackson (4.7),J.Fregosi (54-61)
22,1993,Philadelphia Phillies,NL East,162,97,65,0,.599,.577,1st of 7,--,Lost WS (4-2),877,740,29.3,28.8,40,20,L.Dykstra (6.5),J.Fregosi (97-65)
23,1992,Philadelphia Phillies,NL East,162,70,92,0,.432,.480,6th of 6,26.0,,686,717,27.7,26.8,48,24,D.Daulton (6.9),J.Fregosi (70-92)
24,1991,Philadelphia Phillies,NL East,162,78,84,0,.481,.464,3rd of 6,20.0,,629,680,29.0,26.7,43,19,J.Kruk (4.7),N.Leyva (4-9) and J.Fregosi (74-75)
25,1990,Philadelphia Phillies,NL East,162,77,85,0,.475,.445,4th of 6,18.0,,646,729,28.6,26.5,43,20,L.Dykstra (8.9),N.Leyva (77-85)
26,1989,Philadelphia Phillies,NL East,163,67,95,1,.414,.429,6th of 6,26.0,,629,735,29.0,27.8,48,22,V.Hayes (5.1),N.Leyva (67-95)
27,1988,Philadelphia Phillies,NL East,162,65,96,1,.404,.407,6th of 6,35.5,,597,734,29.0,29.0,43,21,K.Gross (3.6),L.Elia (60-92) and J.Vukovich (5-4)
28,1987,Philadelphia Phillies,NL East,162,80,82,0,.494,.470,4th of 6,15.0,,702,749,28.6,28.2,38,18,M.Schmidt (6.1),J.Felske (29-32) and L.Elia (51-50)
29,1986,Philadelphia Phillies,NL East,161,86,75,0,.534,.516,2nd of 6,21.5,,739,713,27.8,28.6,42,22,M.Schmidt (6.1),J.Felske (86-75)
