
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Pittsburgh Pirates,NL Central,162,88,74,0,.543,.535,2nd of 5,2.0,Lost NLWC (1-0),682,631,27.3,28.1,45,23,A.McCutchen (6.4),C.Hurdle (88-74)
2,2013,Pittsburgh Pirates,NL Central,162,94,68,0,.580,.543,2nd of 5,3.0,Lost LDS (3-2),634,577,27.9,28.7,49,28,A.McCutchen (7.9),C.Hurdle (94-68)
3,2012,Pittsburgh Pirates,NL Central,162,79,83,0,.488,.484,4th of 6,18.0,,651,674,27.6,30.2,49,25,A.McCutchen (7.0),C.Hurdle (79-83)
4,2011,Pittsburgh Pirates,NL Central,162,72,90,0,.444,.430,4th of 6,24.0,,610,712,27.2,28.1,52,25,A.McCutchen (5.7),C.Hurdle (72-90)
5,2010,Pittsburgh Pirates,NL Central,162,57,105,0,.352,.329,6th of 6,34.0,,587,866,26.5,28.6,52,28,A.McCutchen (3.8),J.Russell (57-105)
6,2009,Pittsburgh Pirates,NL Central,161,62,99,0,.385,.415,6th of 6,28.5,,636,768,27.0,26.3,49,26,J.Wilson (3.2),J.Russell (62-99)
7,2008,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.416,6th of 6,30.5,,735,884,28.4,26.5,47,26,P.Maholm (3.9),J.Russell (67-95)
8,2007,Pittsburgh Pirates,NL Central,162,68,94,0,.420,.429,6th of 6,17.0,,724,846,27.2,27.1,46,25,J.Wilson (3.6),J.Tracy (68-94)
9,2006,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.435,5th of 6,16.5,,691,797,27.8,27.0,42,22,F.Sanchez (4.4),J.Tracy (67-95)
10,2005,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.444,6th of 6,33.0,,680,769,27.4,28.7,44,19,J.Bay (5.7),L.McClendon (55-81) and P.Mackanin (12-14)
11,2004,Pittsburgh Pirates,NL Central,161,72,89,0,.447,.459,5th of 6,32.5,,680,744,27.2,27.7,43,22,O.Perez (6.0),L.McClendon (72-89)
12,2003,Pittsburgh Pirates,NL Central,162,75,87,0,.463,.472,4th of 6,13.0,,753,801,29.7,28.3,46,23,K.Wells (5.1),L.McClendon (75-87)
13,2002,Pittsburgh Pirates,NL Central,161,72,89,0,.447,.441,4th of 6,24.5,,641,730,27.9,28.1,38,19,B.Giles (5.3),L.McClendon (72-89)
14,2001,Pittsburgh Pirates,NL Central,162,62,100,0,.383,.380,6th of 6,31.0,,657,858,27.8,28.1,49,22,B.Giles (5.3),L.McClendon (62-100)
15,2000,Pittsburgh Pirates,NL Central,162,69,93,0,.426,.448,5th of 6,26.0,,793,888,28.3,27.1,46,24,B.Giles (6.4),G.Lamont (69-93)
