
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,San Diego Padres,NL West,162,77,85,0,.475,.465,3rd of 5,17.0,,535,577,27.9,28.8,51,24,S.Smith (3.9),B.Black (77-85)
2,2013,San Diego Padres,NL West,162,76,86,0,.469,.443,3rd of 5,16.0,,618,700,28.1,28.8,47,23,C.Denorfia (4.4),B.Black (76-86)
3,2012,San Diego Padres,NL West,162,76,86,0,.469,.460,4th of 5,18.0,,651,710,27.4,28.0,53,30,C.Headley (6.3),B.Black (76-86)
4,2011,San Diego Padres,NL West,162,71,91,0,.438,.486,5th of 5,23.0,,593,611,28.0,28.1,48,22,C.Maybin (4.5),B.Black (71-91)
5,2010,San Diego Padres,NL West,162,90,72,0,.556,.561,2nd of 5,2.0,,665,581,29.1,27.2,40,19,A.Gonzalez (4.3),B.Black (90-72)
6,2009,San Diego Padres,NL West,162,75,87,0,.463,.415,4th of 5,20.0,,638,769,28.0,26.8,56,33,A.Gonzalez (6.9),B.Black (75-87)
7,2008,San Diego Padres,NL West,162,63,99,0,.389,.418,5th of 5,21.0,,637,764,28.9,30.2,59,32,B.Giles (4.8),B.Black (63-99)
8,2007,San Diego Padres,NL West,163,89,74,0,.546,.549,3rd of 5,1.5,,741,666,29.9,31.5,49,21,J.Peavy (6.9),B.Black (89-74)
9,2006,San Diego Padres,NL West,162,88,74,0,.543,.534,1st of 5,--,Lost LDS (3-1),731,679,30.7,30.6,46,22,M.Cameron (4.3),B.Bochy (88-74)
10,2005,San Diego Padres,NL West,162,82,80,0,.506,.473,1st of 5,--,Lost LDS (3-0),684,726,31.1,31.0,46,23,J.Peavy (4.9),B.Bochy (82-80)
11,2004,San Diego Padres,NL West,162,87,75,0,.537,.539,3rd of 5,6.0,,768,705,29.6,30.0,47,24,M.Loretta (6.0),B.Bochy (87-75)
12,2003,San Diego Padres,NL West,162,64,98,0,.395,.408,5th of 5,36.5,,678,831,28.5,27.8,51,27,M.Loretta (4.9),B.Bochy (64-98)
13,2002,San Diego Padres,NL West,162,66,96,0,.407,.406,5th of 5,32.0,,662,815,29.1,27.8,59,37,R.Klesko (4.2),B.Bochy (66-96)
14,2001,San Diego Padres,NL West,162,79,83,0,.488,.487,4th of 5,13.0,,789,812,28.9,28.7,48,25,P.Nevin (5.8),B.Bochy (79-83)
15,2000,San Diego Padres,NL West,162,76,86,0,.469,.463,5th of 5,21.0,,752,815,28.6,27.5,56,29,P.Nevin (4.1),B.Bochy (76-86)
16,1999,San Diego Padres,NL West,162,74,88,0,.457,.457,4th of 5,26.0,,710,781,29.7,28.8,41,20,R.Sanders (4.1),B.Bochy (74-88)
17,1998,San Diego Padres,NL West,162,98,64,0,.605,.575,1st of 5,--,Lost WS (4-0),749,635,31.1,29.8,42,21,K.Brown (9.1),B.Bochy (98-64)
18,1997,San Diego Padres,NL West,162,76,86,0,.469,.448,4th of 4,14.0,,795,891,30.8,28.1,45,21,T.Gwynn (4.3),B.Bochy (76-86)
19,1996,San Diego Padres,NL West,162,91,71,0,.562,.556,1st of 4,--,Lost LDS (3-0),771,682,30.9,28.7,43,19,K.Caminiti (7.6),B.Bochy (91-71)
20,1995,San Diego Padres,NL West,144,70,74,0,.486,.497,3rd of 4,8.0,,668,672,28.8,26.6,40,20,A.Ashby (5.0),B.Bochy (70-74)
21,1994,San Diego Padres,NL West,117,47,70,0,.402,.453,4th of 4,12.5,,479,531,27.2,26.8,40,20,T.Gwynn (4.2),J.Riggleman (47-70)
22,1993,San Diego Padres,NL West,162,61,101,0,.377,.442,7th of 7,43.0,,679,772,26.9,26.7,46,23,G.Harris (4.8),J.Riggleman (61-101)
23,1992,San Diego Padres,NL West,162,82,80,0,.506,.486,3rd of 6,16.0,,617,636,28.4,29.1,39,17,G.Sheffield (6.2),G.Riddoch (78-72) and J.Riggleman (4-8)
24,1991,San Diego Padres,NL West,162,84,78,0,.519,.493,3rd of 6,10.0,,636,646,28.0,29.0,48,23,T.Gwynn (5.6),G.Riddoch (84-78)
25,1990,San Diego Padres,NL West,162,75,87,0,.463,.500,4th of 6,16.0,,673,673,28.7,29.5,37,16,E.Whitson (7.1),J.McKeon (37-43) and G.Riddoch (38-44)
26,1989,San Diego Padres,NL West,162,89,73,0,.549,.512,2nd of 6,3.0,,642,626,27.9,29.2,40,17,E.Whitson (6.7),J.McKeon (89-73)
27,1988,San Diego Padres,NL West,161,83,78,0,.516,.509,3rd of 6,11.0,,594,583,27.2,28.0,35,14,R.Alomar (4.3),L.Bowa (16-30) and J.McKeon (67-48)
28,1987,San Diego Padres,NL West,162,65,97,0,.401,.439,6th of 6,25.0,,668,763,26.5,27.7,39,19,T.Gwynn (8.5),L.Bowa (65-97)
29,1986,San Diego Padres,NL West,162,74,88,0,.457,.456,4th of 6,22.0,,656,723,29.2,28.1,39,19,T.Gwynn (6.6),S.Boros (74-88)
30,1985,San Diego Padres,NL West,162,83,79,0,.512,.520,3rd of 6,12.0,,650,622,29.7,28.2,33,15,T.Gwynn (5.2),D.Williams (83-79)
31,1984,San Diego Padres,NL West,162,92,70,0,.568,.536,1st of 6,--,Lost WS (4-1),686,634,28.3,27.6,31,13,T.Gwynn (6.3),D.Williams (92-70)
32,1983,San Diego Padres,NL West,163,81,81,1,.500,.500,4th of 6,10.0,,653,653,27.4,27.4,41,18,T.Kennedy (4.4),D.Williams (81-81)
33,1982,San Diego Padres,NL West,162,81,81,0,.500,.512,4th of 6,8.0,,675,658,26.6,27.4,38,14,S.Lezcano (5.9),D.Williams (81-81)
34,1981,San Diego Padres,NL West,110,41,69,0,.373,.421,6th of 6,26.0,,382,455,25.9,27.6,34,14,G.Richards (2.7),F.Howard (41-69)
35,1980,San Diego Padres,NL West,163,73,89,1,.451,.454,6th of 6,19.5,,591,654,28.1,28.7,36,15,O.Smith (5.0),J.Coleman (73-89)
36,1979,San Diego Padres,NL West,161,68,93,0,.422,.445,5th of 6,22.0,,603,681,27.5,29.1,35,13,D.Winfield (8.3),R.Craig (68-93)
37,1978,San Diego Padres,NL West,162,84,78,0,.519,.495,4th of 6,11.0,,591,598,26.0,28.4,38,16,G.Tenace (5.2),R.Craig (84-78)
38,1977,San Diego Padres,NL West,162,69,93,0,.426,.415,5th of 6,29.0,,692,834,25.7,26.0,35,15,G.Hendrick (5.8),J.McNamara (20-28) B.Skinner (1-0) and A.Dark (48-65)
39,1976,San Diego Padres,NL West,162,73,89,0,.451,.432,5th of 6,29.0,,570,662,28.4,26.2,36,16,D.Winfield (5.1),J.McNamara (73-89)
40,1975,San Diego Padres,NL West,162,71,91,0,.438,.404,4th of 6,37.0,,552,683,27.5,25.6,38,14,R.Jones (7.6),J.McNamara (71-91)
41,1974,San Diego Padres,NL West,162,60,102,0,.370,.314,6th of 6,42.0,,541,830,26.5,24.8,43,18,D.Freisleben (3.6),J.McNamara (60-102)
42,1973,San Diego Padres,NL West,162,60,102,0,.370,.349,6th of 6,39.0,,548,770,25.2,25.4,32,12,D.Roberts (3.2),D.Zimmer (60-102)
43,1972,San Diego Padres,NL West,153,58,95,0,.379,.362,6th of 6,36.5,,488,665,25.1,25.2,41,15,N.Colbert (5.4),P.Gomez (4-7) and D.Zimmer (54-88)
44,1971,San Diego Padres,NL West,161,61,100,0,.379,.398,6th of 6,28.5,,486,610,26.4,26.3,40,16,D.Roberts (7.7),P.Gomez (61-100)
45,1970,San Diego Padres,NL West,162,63,99,0,.389,.434,6th of 6,39.0,,681,788,26.6,26.4,37,16,C.Gaston (5.1),P.Gomez (63-99)
46,1969,San Diego Padres,NL West,162,52,110,0,.321,.299,6th of 6,41.0,,468,746,26.2,24.9,42,17,O.Brown (2.6),P.Gomez (52-110)
