W-L,pythW-L,R,RA,BatAge,PAge,#Bat,#P,ttlsalary,YPN2,YPN3,YPN4,YPN5,YPN6,AB,H,2b,3b,hr,bb,so,sb,cs,hbp,sf,ER,ERA,CG,SHO,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,FP,attendance,YearP1W
0.531,0.521,656,626,27.7,27.7,44,21,113703270,0.605,0.497,0.426,0.364,0.366,5436,1365,259,27,161,464,1192,88,28,40,39,576,3.59,6,4,47,4337,1367,142,405,1236,107,145,0.982,2652422,0.593
0.457,0.473,712,756,29.1,30.9,53,31,126288100,0.451,0.5,0.525,0.463,0.531,5537,1398,273,24,185,510,1123,112,41,38,38,685,4.26,4,2,39,4356,1451,195,500,1208,111,144,0.982,2536562,0.512
0.558,0.563,730,636,29.5,27.9,46,25,112522600,0.574,0.593,0.556,0.537,0.488,5585,1465,262,23,176,462,1067,149,46,61,42,589,3.63,4,2,46,4390,1370,157,498,1309,86,146,0.986,3178273,0.414
0.564,0.537,700,646,29.6,29,42,21,52955272,0.556,0.562,0.593,0.519,0.599,5538,1421,296,23,165,589,1171,73,38,36,55,608,3.74,9,3,42,4392,1315,153,482,1310,59,147,0.99,1510300,0.475
0.599,0.622,783,596,28.7,26.9,44,25,92260110,0.543,0.556,0.531,0.562,0.531,5557,1494,322,20,125,481,1110,45,22,64,44,555,3.43,7,4,44,4379,1366,112,451,1254,75,177,0.988,3369769,0.556
0.469,0.457,629,691,28.7,29.6,44,21,140180334,0.58,0.531,0.568,0.543,0.444,5552,1446,280,35,107,469,1078,67,26,39,42,643,4,2,2,41,4342,1380,145,521,1256,107,126,0.982,3326796,0.543
0.438,0.414,624,754,28.5,28,47,22,74005043,0.463,0.414,0.377,0.525,0.377,5558,1318,249,17,188,529,1353,49,23,31,28,702,4.32,4,2,43,4395,1467,174,478,1297,88,149,0.986,1761546,0.537
0.469,0.443,618,700,28.1,28.8,47,23,65585500,0.469,0.438,0.556,0.463,0.389,5517,1349,246,26,146,467,1309,118,34,52,34,643,3.98,3,1,40,4365,1407,156,525,1171,83,140,0.986,2166691,0.475
0.58,0.543,634,577,27.9,28.7,49,28,77062000,0.488,0.444,0.352,0.385,0.414,5486,1345,273,35,161,469,1330,94,42,88,29,533,3.27,3,0,55,4412,1299,101,515,1261,106,154,0.984,2256862,0.543
0.451,0.407,610,749,30,28.7,51,27,169863189,0.5,0.63,0.599,0.574,0.568,5456,1355,255,32,140,417,1205,73,29,53,31,689,4.34,6,2,32,4309,1465,152,506,1199,97,141,0.984,3012403,0.451
0.593,0.593,767,625,28.3,28.3,44,18,60132500,0.58,0.457,0.5,0.463,0.466,5521,1403,301,25,186,573,1178,74,28,45,49,574,3.56,6,4,46,4356,1339,163,428,1183,97,112,0.983,1809302,0.543
0.525,0.485,650,671,31.8,31.8,56,24,231978886,0.586,0.599,0.586,0.636,0.549,5449,1321,247,24,144,466,1214,115,31,57,36,633,3.94,7,3,49,4342,1452,171,437,1233,69,138,0.988,3279589,0.519
0.457,0.454,619,684,28.3,29.1,53,29,49448346,0.457,0.475,0.488,0.432,0.549,5559,1318,263,32,130,512,1384,114,35,51,32,618,3.78,4,2,40,4430,1442,152,458,1209,93,127,0.985,2135657,0.488
0.407,0.388,614,788,28.3,28.3,44,23,75337500,0.407,0.389,0.58,0.534,0.54,5564,1346,285,15,151,533,1430,52,33,52,32,733,4.55,1,1,40,4351,1591,168,458,985,81,178,0.987,2477644,0.432
0.457,0.468,640,687,27.9,28.8,40,21,76947033,0.512,0.593,0.475,0.494,0.556,5474,1381,238,43,157,407,1183,142,50,71,35,615,3.84,4,2,40,4328,1401,175,466,1125,114,153,0.981,2531105,0.506
0.568,0.55,649,582,30.6,28.1,49,27,223362196,0.531,0.509,0.494,0.586,0.519,5491,1447,281,17,138,476,1146,78,28,57,48,524,3.25,7,4,46,4351,1321,127,460,1292,109,160,0.982,3743527,0.58
0.531,0.534,648,601,27,28.9,43,20,80091725,0.444,0.438,0.414,0.401,0.463,5549,1443,254,34,112,422,1048,153,32,42,42,555,3.45,5,2,52,4345,1366,155,469,1208,85,136,0.986,1750754,0.549
0.315,0.354,610,848,26,27.2,50,26,17890700,0.34,0.346,0.469,0.457,0.534,5457,1307,266,16,148,426,1535,110,61,52,38,766,4.79,2,1,32,4320,1530,191,616,1084,125,166,0.979,1651883,0.432
0.383,0.396,513,646,27.7,26,53,26,33601900,0.426,0.444,0.494,0.537,0.522,5449,1257,219,31,95,432,1232,78,29,56,26,602,3.71,2,1,36,4380,1376,121,526,1177,88,144,0.986,1586322,0.475
0.574,0.61,796,624,29.9,28.4,39,20,145989500,0.543,0.586,0.5,0.528,0.457,5735,1625,292,23,176,531,1073,35,20,43,47,587,3.61,3,1,39,4388,1369,128,462,1428,76,135,0.987,3083397,0.556
0.457,0.466,706,760,27.7,28.3,43,23,74409071,0.395,0.451,0.512,0.568,0.457,5599,1511,283,36,159,427,1204,112,32,26,35,708,4.44,1,0,35,4308,1545,136,517,1064,90,162,0.986,2793828,0.407
0.568,0.554,745,662,28.6,27.5,49,28,75771800,0.42,0.494,0.426,0.401,0.5,5465,1391,290,23,171,562,1283,117,36,51,56,611,3.82,3,3,38,4324,1359,147,554,1379,98,135,0.983,1572926,0.525
0.556,0.577,698,589,28.5,27.7,39,20,106404462,0.599,0.488,0.562,0.481,0.457,5499,1370,274,20,155,585,1245,67,35,76,46,554,3.38,5,2,43,4421,1293,170,435,1296,76,130,0.988,2534369,0.469
0.389,0.414,598,723,29.2,27.1,47,24,120065277,0.525,0.488,0.543,0.488,0.546,5563,1385,237,19,148,411,1207,105,42,34,48,643,4,5,1,40,4365,1424,182,509,1249,121,153,0.98,2642682,0.451
0.407,0.439,602,689,27.9,28.7,56,31,100567726,0.377,0.438,0.463,0.516,0.602,5498,1307,297,18,172,439,1230,63,32,67,30,643,4,3,1,39,4344,1332,160,540,1184,100,128,0.983,1768413,0.451
0.599,0.618,853,656,29.7,30.2,48,26,151530000,0.426,0.556,0.549,0.586,0.586,5651,1566,363,29,178,581,1308,123,19,72,50,613,3.79,5,2,33,4362,1366,156,524,1294,80,140,0.987,2833333,0.438
0.525,0.523,745,709,27.8,27.9,52,26,84393333,0.574,0.426,0.407,0.395,0.422,5620,1460,298,14,212,416,1125,79,29,36,45,678,4.2,2,1,57,4359,1438,202,473,1169,54,165,0.991,2357561,0.593
