
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Chicago White Sox,AL Central,162,73,89,0,.451,.437,4th of 5,17.0,,660,758,27.7,27.4,44,26,C.Sale (6.6),R.Ventura (73-89)
2,2013,Chicago White Sox,AL Central,162,63,99,0,.389,.414,5th of 5,30.0,,598,723,29.2,27.1,47,24,C.Sale (6.9),R.Ventura (63-99)
3,2012,Chicago White Sox,AL Central,162,85,77,0,.525,.546,2nd of 5,3.0,,748,676,29.9,27.5,45,25,C.Sale (5.9),R.Ventura (85-77)
4,2011,Chicago White Sox,AL Central,162,79,83,0,.488,.465,3rd of 5,16.0,,654,706,29.9,28.5,42,22,M.Buehrle (3.8),O.Guillen (78-82) and D.Cooper (1-1)
5,2010,Chicago White Sox,AL Central,162,88,74,0,.543,.530,2nd of 5,6.0,,752,704,30.6,29.0,40,20,A.Ramirez (5.6),O.Guillen (88-74)
6,2009,Chicago White Sox,AL Central,162,79,83,0,.488,.495,3rd of 5,7.5,,724,732,29.8,29.5,45,24,M.Buehrle (5.4),O.Guillen (79-83)
7,2008,Chicago White Sox,AL Central,163,89,74,0,.546,.549,1st of 5,--,Lost LDS (3-1),811,729,30.5,28.3,39,19,J.Danks (6.4),O.Guillen (89-74)
8,2007,Chicago White Sox,AL Central,162,72,90,0,.444,.413,4th of 5,24.0,,693,839,29.6,27.7,43,21,J.Vazquez (6.1),O.Guillen (72-90)
9,2006,Chicago White Sox,AL Central,162,90,72,0,.556,.541,3rd of 5,6.0,,868,794,29.6,27.9,37,18,J.Thome (4.9),O.Guillen (90-72)
10,2005,Chicago White Sox,AL Central,162,99,63,0,.611,.563,1st of 5,--,Won WS (4-0),741,645,29.3,29.3,38,17,M.Buehrle (4.8),O.Guillen (99-63)
11,2004,Chicago White Sox,AL Central,162,83,79,0,.512,.518,2nd of 5,9.0,,865,831,28.6,28.2,42,22,A.Rowand (5.6),O.Guillen (83-79)
12,2003,Chicago White Sox,AL Central,162,86,76,0,.531,.546,2nd of 5,4.0,,791,715,29.3,27.9,40,20,E.Loaiza (7.2),J.Manuel (86-76)
13,2002,Chicago White Sox,AL Central,162,81,81,0,.500,.532,2nd of 5,13.5,,856,798,28.8,25.8,35,16,M.Ordonez (5.1),J.Manuel (81-81)
14,2001,Chicago White Sox,AL Central,162,83,79,0,.512,.502,3rd of 5,8.0,,798,795,28.4,26.2,42,21,M.Buehrle (5.9),J.Manuel (83-79)
15,2000,Chicago White Sox,AL Central,162,95,67,0,.586,.570,1st of 5,--,Lost LDS (3-0),978,839,27.5,26.5,42,22,F.Thomas (6.0),J.Manuel (95-67)
16,1999,Chicago White Sox,AL Central,162,75,86,1,.466,.448,2nd of 5,21.5,,777,870,25.8,26.4,40,21,M.Ordonez (5.8),J.Manuel (75-86)
17,1998,Chicago White Sox,AL Central,163,80,82,1,.494,.464,2nd of 5,9.0,,861,931,27.3,26.4,39,20,A.Belle (7.1),J.Manuel (80-82)
18,1997,Chicago White Sox,AL Central,161,80,81,0,.497,.469,2nd of 5,6.0,,779,833,29.3,29.4,45,22,F.Thomas (7.3),T.Bevington (80-81)
19,1996,Chicago White Sox,AL Central,162,85,77,0,.525,.556,2nd of 5,14.5,,898,794,30.5,27.8,44,22,A.Fernandez (6.4),T.Bevington (85-77)
20,1995,Chicago White Sox,AL Central,145,68,76,1,.472,.498,3rd of 5,32.0,,755,758,29.5,27.6,46,26,F.Thomas (5.3),G.Lamont (11-20) and T.Bevington (57-56)
21,1994,Chicago White Sox,AL Central,113,67,46,0,.593,.608,1st of 5,--,,633,498,29.9,28.2,34,14,F.Thomas (6.3),G.Lamont (67-46)
22,1993,Chicago White Sox,AL West,162,94,68,0,.580,.571,1st of 7,--,Lost ALCS (4-2),776,664,28.9,26.6,43,20,F.Thomas (6.2),G.Lamont (94-68)
23,1992,Chicago White Sox,AL West,162,86,76,0,.531,.531,3rd of 7,10.0,,738,690,28.7,28.9,35,13,F.Thomas (6.9),G.Lamont (86-76)
24,1991,Chicago White Sox,AL West,162,87,75,0,.537,.549,2nd of 7,8.0,,758,681,27.7,26.7,38,17,F.Thomas (6.9),J.Torborg (87-75)
25,1990,Chicago White Sox,AL West,162,94,68,0,.580,.534,2nd of 7,9.0,,682,633,27.5,24.9,37,17,C.Fisk (4.8),J.Torborg (94-68)
26,1989,Chicago White Sox,AL West,161,69,92,0,.429,.464,7th of 7,29.5,,693,750,27.6,26.4,42,19,C.Fisk (3.3),J.Torborg (69-92)
27,1988,Chicago White Sox,AL West,161,71,90,0,.441,.417,5th of 7,32.5,,631,757,27.3,26.6,44,21,O.Guillen (3.4),J.Fregosi (71-90)
28,1987,Chicago White Sox,AL West,162,77,85,0,.475,.501,5th of 7,8.0,,748,746,27.7,27.6,36,18,I.Calderon (4.2),J.Fregosi (77-85)
