
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Cleveland Indians,AL Central,162,85,77,0,.525,.511,3rd of 5,5.0,,669,653,28.5,27.2,46,22,C.Kluber (7.4),T.Francona (85-77)
2,2013,Cleveland Indians,AL Central,162,92,70,0,.568,.554,2nd of 5,1.0,Lost ALWC (1-0),745,662,28.6,27.5,49,28,J.Kipnis (5.9),T.Francona (92-70)
3,2012,Cleveland Indians,AL Central,162,68,94,0,.420,.393,4th of 5,20.0,,667,845,27.8,27.6,48,24,C.Santana (4.0),M.Acta (65-91) and S.Alomar (3-3)
4,2011,Cleveland Indians,AL Central,162,80,82,0,.494,.465,2nd of 5,15.0,,704,760,27.8,26.7,46,22,A.Cabrera (5.0),M.Acta (80-82)
5,2010,Cleveland Indians,AL Central,162,69,93,0,.426,.431,4th of 5,25.0,,646,752,27.2,26.6,45,22,S.Choo (5.9),M.Acta (69-93)
6,2009,Cleveland Indians,AL Central,162,65,97,0,.401,.449,4th of 5,21.5,,773,865,27.4,27.8,52,29,S.Choo (5.5),E.Wedge (65-97)
7,2008,Cleveland Indians,AL Central,162,81,81,0,.500,.526,3rd of 5,7.5,,805,761,27.7,28.6,49,28,C.Lee (6.8),E.Wedge (81-81)
8,2007,Cleveland Indians,AL Central,162,96,66,0,.593,.564,1st of 5,--,Lost ALCS (4-3),811,704,28.1,29.4,41,21,C.Sabathia (6.4),E.Wedge (96-66)
9,2006,Cleveland Indians,AL Central,162,78,84,0,.481,.549,4th of 5,18.0,,870,782,27.8,28.6,45,23,G.Sizemore (6.6),E.Wedge (78-84)
10,2005,Cleveland Indians,AL Central,162,93,69,0,.574,.594,2nd of 5,6.0,,790,642,27.7,29.2,38,17,G.Sizemore (6.6),E.Wedge (93-69)
11,2004,Cleveland Indians,AL Central,162,80,82,0,.494,.501,3rd of 5,12.0,,858,857,28.6,27.3,52,30,T.Hafner (5.0),E.Wedge (80-82)
12,2003,Cleveland Indians,AL Central,162,68,94,0,.420,.451,4th of 5,22.0,,699,778,27.1,26.3,54,29,M.Bradley (4.1),E.Wedge (68-94)
13,2002,Cleveland Indians,AL Central,162,74,88,0,.457,.443,3rd of 5,20.5,,739,837,30.3,28.1,59,31,J.Thome (7.4),C.Manuel (39-47) and J.Skinner (35-41)
14,2001,Cleveland Indians,AL Central,162,91,71,0,.562,.540,1st of 5,--,Lost LDS (3-2),897,821,31.0,29.1,44,24,R.Alomar (7.3),C.Manuel (91-71)
15,2000,Cleveland Indians,AL Central,162,90,72,0,.556,.569,2nd of 5,5.0,,950,816,30.1,30.2,55,32,R.Alomar (5.6),C.Manuel (90-72)
16,1999,Cleveland Indians,AL Central,162,97,65,0,.599,.573,1st of 5,--,Lost LDS (3-2),1009,860,29.2,30.6,51,25,R.Alomar (7.4),M.Hargrove (97-65)
17,1998,Cleveland Indians,AL Central,162,89,73,0,.549,.540,1st of 5,--,Lost ALCS (4-2),850,779,29.5,29.8,48,23,K.Lofton (5.9),M.Hargrove (89-73)
18,1997,Cleveland Indians,AL Central,161,86,75,0,.534,.529,1st of 5,--,Lost WS (4-3),868,815,30.2,29.7,46,21,J.Thome (5.4),M.Hargrove (86-75)
19,1996,Cleveland Indians,AL Central,161,99,62,0,.615,.596,1st of 5,--,Lost LDS (3-1),952,769,29.7,30.3,44,18,J.Thome (7.5),M.Hargrove (99-62)
20,1995,Cleveland Indians,AL Central,144,100,44,0,.694,.644,1st of 5,--,Lost WS (4-2),840,607,29.0,30.6,41,20,A.Belle (6.9),M.Hargrove (100-44)
21,1994,Cleveland Indians,AL Central,113,66,47,0,.584,.586,2nd of 5,1.0,,679,562,28.4,30.7,40,21,K.Lofton (7.2),M.Hargrove (66-47)
22,1993,Cleveland Indians,AL East,162,76,86,0,.469,.487,6th of 7,19.0,,790,813,27.2,27.3,48,26,K.Lofton (7.6),M.Hargrove (76-86)
23,1992,Cleveland Indians,AL East,162,76,86,0,.469,.454,4th of 7,20.0,,674,746,25.9,27.0,42,20,K.Lofton (6.6),M.Hargrove (76-86)
24,1991,Cleveland Indians,AL East,162,57,105,0,.352,.376,7th of 7,34.0,,576,759,25.6,26.8,53,24,G.Swindell (3.8),J.McNamara (25-52) and M.Hargrove (32-53)
25,1990,Cleveland Indians,AL East,162,77,85,0,.475,.497,4th of 7,11.0,,732,737,27.4,28.1,44,21,B.Jacoby (3.5),J.McNamara (77-85)
26,1989,Cleveland Indians,AL East,162,73,89,0,.451,.464,6th of 7,16.0,,604,654,27.1,28.5,47,20,T.Candiotti (4.7),D.Edwards (65-78) and J.Hart (8-11)
27,1988,Cleveland Indians,AL East,162,78,84,0,.481,.457,6th of 7,11.0,,666,731,28.1,27.0,44,18,G.Swindell (5.9),D.Edwards (78-84)
28,1987,Cleveland Indians,AL East,162,61,101,0,.377,.386,7th of 7,37.0,,742,957,27.7,30.5,44,21,B.Butler (4.9),P.Corrales (31-56) and D.Edwards (30-45)
29,1986,Cleveland Indians,AL East,163,84,78,1,.519,.495,5th of 7,11.5,,831,841,27.6,29.8,36,18,J.Carter (5.7),P.Corrales (84-78)
30,1985,Cleveland Indians,AL East,162,60,102,0,.370,.424,7th of 7,39.5,,729,861,28.0,27.4,38,19,B.Butler (4.7),P.Corrales (60-102)
31,1984,Cleveland Indians,AL East,163,75,87,1,.463,.497,6th of 7,29.0,,761,766,27.4,27.2,40,19,B.Blyleven (7.2),P.Corrales (75-87)
32,1983,Cleveland Indians,AL East,162,70,92,0,.432,.450,7th of 7,28.0,,704,785,29.8,27.7,40,17,L.Sorensen (3.9),M.Ferraro (40-60) and P.Corrales (30-32)
33,1982,Cleveland Indians,AL East,162,78,84,0,.481,.459,6th of 7,17.0,,683,748,28.7,27.4,36,16,T.Harrah (6.5),D.Garcia (78-84)
34,1981,Cleveland Indians,AL East,103,52,51,0,.505,.488,6th of 7,7.0,,431,442,28.8,28.3,33,12,B.Blyleven (5.6),D.Garcia (52-51)
35,1980,Cleveland Indians,AL East,160,79,81,0,.494,.459,6th of 7,23.0,,738,807,27.7,26.8,33,13,T.Harrah (4.4),D.Garcia (79-81)
36,1979,Cleveland Indians,AL East,161,81,80,0,.503,.474,6th of 7,22.0,,760,805,28.1,26.7,33,14,S.Monge (5.7),J.Torborg (43-52) and D.Garcia (38-28)
