
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Colorado Rockies,NL West,162,66,96,0,.407,.463,4th of 5,28.0,,755,818,27.4,28.5,49,26,T.Tulowitzki (5.5),W.Weiss (66-96)
2,2013,Colorado Rockies,NL West,162,74,88,0,.457,.466,5th of 5,18.0,,706,760,27.7,28.3,43,23,J.Chacin (6.1),W.Weiss (74-88)
3,2012,Colorado Rockies,NL West,162,64,98,0,.395,.427,5th of 5,30.0,,758,890,28.1,28.2,49,27,D.Fowler (2.8),J.Tracy (64-98)
4,2011,Colorado Rockies,NL West,162,73,89,0,.451,.476,4th of 5,21.0,,735,774,28.6,27.7,55,29,T.Tulowitzki (6.1),J.Tracy (73-89)
5,2010,Colorado Rockies,NL West,162,83,79,0,.512,.533,3rd of 5,9.0,,770,717,28.8,28.1,43,23,U.Jimenez (7.4),J.Tracy (83-79)
6,2009,Colorado Rockies,NL West,162,92,70,0,.568,.553,2nd of 5,3.0,Lost LDS (3-1),804,715,27.8,28.5,45,25,T.Tulowitzki (6.5),C.Hurdle (18-28) and J.Tracy (74-42)
7,2008,Colorado Rockies,NL West,162,74,88,0,.457,.456,3rd of 5,10.0,,747,822,27.5,28.5,49,26,M.Holliday (5.8),C.Hurdle (74-88)
8,2007,Colorado Rockies,NL West,163,90,73,0,.552,.558,2nd of 5,0.5,Lost WS (4-0),860,758,27.9,28.1,53,30,T.Tulowitzki (6.8),C.Hurdle (90-73)
9,2006,Colorado Rockies,NL West,162,76,86,0,.469,.501,4th of 5,12.0,,813,812,27.8,28.8,50,24,G.Atkins (4.9),C.Hurdle (76-86)
10,2005,Colorado Rockies,NL West,162,67,95,0,.414,.431,5th of 5,15.0,,740,862,27.2,27.3,54,27,T.Helton (4.6),C.Hurdle (67-95)
11,2004,Colorado Rockies,NL West,162,68,94,0,.420,.453,4th of 5,25.0,,833,923,30.4,28.8,47,25,T.Helton (8.3),C.Hurdle (68-94)
12,2003,Colorado Rockies,NL West,162,74,88,0,.457,.480,4th of 5,26.5,,853,892,29.5,28.0,50,23,T.Helton (6.2),C.Hurdle (74-88)
13,2002,Colorado Rockies,NL West,162,73,89,0,.451,.435,4th of 5,25.0,,778,898,28.7,28.5,43,22,T.Helton (6.3),B.Bell (6-16) and C.Hurdle (67-73)
14,2001,Colorado Rockies,NL West,162,73,89,0,.451,.509,5th of 5,19.0,,923,906,28.3,28.7,53,26,T.Helton (7.8),B.Bell (73-89)
15,2000,Colorado Rockies,NL West,162,82,80,0,.506,.535,4th of 5,15.0,,968,897,29.2,29.7,49,25,T.Helton (8.9),B.Bell (82-80)
16,1999,Colorado Rockies,NL West,162,72,90,0,.444,.442,5th of 5,28.0,,906,1028,29.7,28.9,44,18,P.Astacio (6.0),J.Leyland (72-90)
17,1998,Colorado Rockies,NL West,162,77,85,0,.475,.484,4th of 5,21.0,,826,855,29.5,27.8,42,19,L.Walker (5.7),D.Baylor (77-85)
18,1997,Colorado Rockies,NL West,162,83,79,0,.512,.507,3rd of 4,7.0,,923,908,30.4,27.9,43,23,L.Walker (9.8),D.Baylor (83-79)
19,1996,Colorado Rockies,NL West,162,83,79,0,.512,.499,3rd of 4,8.0,,961,964,30.1,28.8,44,21,E.Burks (7.9),D.Baylor (83-79)
20,1995,Colorado Rockies,NL West,144,77,67,0,.535,.501,2nd of 4,1.0,Lost LDS (3-1),785,783,29.5,28.6,41,20,L.Walker (4.7),D.Baylor (77-67)
21,1994,Colorado Rockies,NL West,117,53,64,0,.453,.451,3rd of 4,6.5,,573,638,29.7,28.0,36,18,M.Freeman (4.6),D.Baylor (53-64)
22,1993,Colorado Rockies,NL West,162,67,95,0,.414,.390,6th of 7,37.0,,758,967,27.7,27.1,46,25,A.Galarraga (3.5),D.Baylor (67-95)
