
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Miami Marlins,NL East,162,77,85,0,.475,.480,4th of 5,19.0,,645,674,27.4,26.4,45,25,G.Stanton (6.5),M.Redmond (77-85)
2,2013,Miami Marlins,NL East,162,62,100,0,.383,.396,5th of 5,34.0,,513,646,27.7,26.0,53,26,J.Fernandez (6.7),M.Redmond (62-100)
3,2012,Miami Marlins,NL East,162,69,93,0,.426,.422,5th of 5,29.0,,609,724,28.3,28.8,45,21,G.Stanton (5.5),O.Guillen (69-93)
4,2011,Florida Marlins,NL East,162,72,90,0,.444,.447,5th of 5,30.0,,625,702,27.4,28.0,44,22,G.Stanton (4.1),E.Rodriguez (32-39) B.Hyde (0-1) and J.McKeon (40-50)
5,2010,Florida Marlins,NL East,162,80,82,0,.494,.501,3rd of 5,17.0,,719,717,26.9,27.1,57,31,J.Johnson (6.8),F.Gonzalez (34-36) and E.Rodriguez (46-46)
6,2009,Florida Marlins,NL East,162,87,75,0,.537,.504,2nd of 5,6.0,,772,766,27.0,26.3,44,27,J.Johnson (7.4),F.Gonzalez (87-75)
7,2008,Florida Marlins,NL East,161,84,77,0,.522,.502,3rd of 5,7.5,,770,767,28.0,26.6,45,22,H.Ramirez (6.7),F.Gonzalez (84-77)
8,2007,Florida Marlins,NL East,162,71,91,0,.438,.445,5th of 5,18.0,,790,891,26.7,26.2,50,30,H.Ramirez (4.3),F.Gonzalez (71-91)
9,2006,Florida Marlins,NL East,162,78,84,0,.481,.492,4th of 5,19.0,,758,772,25.6,25.9,40,21,M.Cabrera (5.8),J.Girardi (78-84)
10,2005,Florida Marlins,NL East,162,83,79,0,.512,.491,3rd of 5,7.0,,717,732,29.7,29.5,47,27,D.Willis (8.4),J.McKeon (83-79)
11,2004,Florida Marlins,NL East,162,83,79,0,.512,.512,3rd of 5,13.0,,718,700,28.8,27.8,45,25,C.Pavano (5.8),J.McKeon (83-79)
12,2003,Florida Marlins,NL East,162,91,71,0,.562,.537,2nd of 5,10.0,Won WS (4-2),751,692,27.7,26.3,40,22,D.Willis (4.4),J.Torborg (16-22) and J.McKeon (75-49)
13,2002,Florida Marlins,NL East,162,79,83,0,.488,.460,4th of 5,23.0,,699,763,28.4,26.1,41,21,A.Burnett (4.1),J.Torborg (79-83)
14,2001,Florida Marlins,NL East,162,76,86,0,.469,.499,4th of 5,12.0,,742,744,27.3,26.5,42,23,C.Floyd (6.6),J.Boles (22-26) and T.Perez (54-60)
15,2000,Florida Marlins,NL East,161,79,82,0,.491,.461,3rd of 5,15.5,,731,797,26.1,26.7,40,18,L.Castillo (4.5),J.Boles (79-82)
16,1999,Florida Marlins,NL East,162,64,98,0,.395,.405,5th of 5,39.0,,691,852,25.2,26.0,44,21,A.Fernandez (3.5),J.Boles (64-98)
17,1998,Florida Marlins,NL East,162,54,108,0,.333,.356,5th of 5,52.0,,667,923,25.4,24.5,49,22,M.Kotsay (3.9),J.Leyland (54-108)
18,1997,Florida Marlins,NL East,162,92,70,0,.568,.546,2nd of 5,9.0,Won WS (4-3),740,669,28.5,27.5,43,20,K.Brown (6.8),J.Leyland (92-70)
19,1996,Florida Marlins,NL East,162,80,82,0,.494,.490,3rd of 5,16.0,,688,703,27.9,28.0,46,23,K.Brown (7.9),R.Lachemann (39-47) C.Rojas (1-0) and J.Boles (40-35)
20,1995,Florida Marlins,NL East,143,67,76,0,.469,.500,4th of 5,22.5,,673,673,28.1,28.3,46,27,C.Hammond (3.3),R.Lachemann (67-76)
21,1994,Florida Marlins,NL East,115,51,64,0,.443,.406,5th of 5,23.5,,468,576,27.6,29.0,42,20,J.Conine (2.8),R.Lachemann (51-64)
22,1993,Florida Marlins,NL East,162,64,98,0,.395,.401,6th of 7,33.0,,581,724,27.7,29.7,43,18,B.Harvey (4.0),R.Lachemann (64-98)
