
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,St. Louis Cardinals,NL Central,162,90,72,0,.556,.512,1st of 5,--,Lost NLCS (4-1),619,603,28.6,27.2,46,24,A.Wainwright (6.4),M.Matheny (90-72)
2,2013,St. Louis Cardinals,NL Central,162,97,65,0,.599,.622,1st of 5,--,Lost WS (4-2),783,596,28.7,26.9,44,25,A.Wainwright (6.5),M.Matheny (97-65)
3,2012,St. Louis Cardinals,NL Central,162,88,74,0,.543,.575,2nd of 6,9.0,Lost NLCS (4-3),765,648,29.2,28.6,45,24,Y.Molina (6.9),M.Matheny (88-74)
4,2011,St. Louis Cardinals,NL Central,162,90,72,0,.556,.544,2nd of 6,6.0,Won WS (4-3),762,692,29.3,30.2,46,24,A.Pujols (5.3),T.La Russa (90-72)
5,2010,St. Louis Cardinals,NL Central,162,86,76,0,.531,.563,2nd of 6,5.0,,736,641,28.8,30.2,42,22,A.Pujols (7.5),T.La Russa (86-76)
6,2009,St. Louis Cardinals,NL Central,162,91,71,0,.562,.560,1st of 6,--,Lost LDS (3-0),730,640,28.5,30.1,42,20,A.Pujols (9.7),T.La Russa (91-71)
7,2008,St. Louis Cardinals,NL Central,162,86,76,0,.531,.533,4th of 6,11.5,,779,725,28.8,30.2,43,24,A.Pujols (9.2),T.La Russa (86-76)
8,2007,St. Louis Cardinals,NL Central,162,78,84,0,.481,.439,3rd of 6,7.0,,725,829,30.2,29.6,45,25,A.Pujols (8.7),T.La Russa (78-84)
9,2006,St. Louis Cardinals,NL Central,161,83,78,0,.516,.511,1st of 6,--,Won WS (4-1),781,762,29.6,28.6,41,19,A.Pujols (8.4),T.La Russa (83-78)
10,2005,St. Louis Cardinals,NL Central,162,100,62,0,.617,.608,1st of 6,--,Lost NLCS (4-2),805,634,30.8,29.7,40,20,A.Pujols (8.4),T.La Russa (100-62)
11,2004,St. Louis Cardinals,NL Central,162,105,57,0,.648,.617,1st of 6,--,Lost WS (4-0),855,659,30.6,30.1,37,20,S.Rolen (9.1),T.La Russa (105-57)
12,2003,St. Louis Cardinals,NL Central,162,85,77,0,.525,.544,3rd of 6,3.0,,876,796,29.9,31.2,42,24,A.Pujols (8.6),T.La Russa (85-77)
13,2002,St. Louis Cardinals,NL Central,162,97,65,0,.599,.588,1st of 6,--,Lost NLCS (4-1),787,648,29.0,30.2,44,26,J.Edmonds (6.7),T.La Russa (97-65)
14,2001,St. Louis Cardinals,NL Central,162,93,69,0,.574,.579,2nd of 6,--,Lost LDS (3-2),814,684,28.8,29.3,40,21,A.Pujols (6.6),T.La Russa (93-69)
