
Year,G,BLA,BAL,BOS,CHW,CLE,DET,HOU,KCR,ANA,MIL,MIN,NYY,OAK,SEA,TBD,TEX,TOR
2014,162,,96,71,73,85,90,70,89,98,,70,84,88,87,77,67,83
2013,163,,85,97,63,92,93,51,86,78,,66,85,96,71,92,91,74
2012,162,,93,69,85,68,88,,72,89,,66,95,94,75,90,93,73
2011,162,,69,90,79,80,95,,71,86,,63,97,74,67,91,96,81
2010,162,,66,89,88,69,81,,67,80,,94,95,81,61,96,90,85
2009,163,,64,95,79,65,86,,65,97,,87,103,75,85,84,87,75
2008,163,,68,95,89,81,74,,75,100,,88,89,75,61,97,79,86
2007,163,,69,96,72,96,88,,69,94,,79,94,76,88,66,75,83
2006,162,,70,86,90,78,95,,62,89,,96,97,93,78,61,80,87
2005,162,,74,95,99,93,71,,56,95,,83,95,88,69,67,79,80
2004,162,,78,98,83,80,72,,58,92,,92,101,91,63,70,89,67
2003,162,,71,95,86,68,43,,83,77,,90,101,96,93,63,71,86
2002,162,,67,93,81,74,55,,62,99,,94,103,103,93,55,72,78
2001,162,,63,82,83,91,66,,65,75,,85,95,102,116,62,73,80
2000,162,,74,85,95,90,79,,77,82,,69,87,91,91,69,71,83
1999,163,,78,94,75,97,69,,64,70,,63,98,87,79,69,95,84
1998,163,,79,92,80,89,65,,72,85,,70,114,74,76,63,88,88
1997,162,,98,78,80,86,79,,67,84,78,68,96,65,90,,77,76
1996,162,,88,85,85,99,53,,75,70,80,78,92,78,85,,90,74
1995,145,,71,86,68,100,60,,70,78,65,56,79,67,79,,74,56
1994,117,,63,54,67,66,53,,64,47,53,53,70,51,49,,52,55
1993,162,,85,80,94,76,85,,84,71,69,71,88,68,82,,86,95
1992,162,,89,73,86,76,75,,72,72,92,90,76,96,64,,77,96
1991,162,,67,84,87,57,84,,82,81,83,95,71,84,83,,85,91
1990,162,,76,88,94,77,79,,75,80,74,74,67,103,77,,83,86
Year,G,BLA,BAL,BOS,CHW,CLE,DET,HOU,KCR,ANA,MIL,MIN,NYY,OAK,SEA,TBD,TEX,TOR
1989,162,,87,83,69,73,59,,92,91,81,80,74,99,73,,83,89
1988,162,,54,89,71,78,88,,84,75,87,91,85,104,68,,70,87
1987,162,,67,78,77,61,98,,83,75,91,85,89,81,78,,75,96
1986,162,,73,95,72,84,87,,76,92,77,71,90,76,67,,87,86
1985,162,,83,81,85,60,84,,91,90,71,77,97,77,74,,62,99
1984,162,,85,86,74,75,104,,84,81,67,81,87,77,74,,69,89
1983,162,,98,78,99,70,92,,79,70,87,70,91,74,60,,77,89
1982,162,,94,89,87,78,83,,90,93,95,60,79,68,76,,64,78
1981,111,,59,59,54,52,60,,50,51,62,41,59,64,44,,57,37
1980,163,,100,83,70,79,84,,97,65,86,77,103,83,59,,76,67
1979,162,,102,91,73,81,85,,85,88,95,82,89,54,67,,83,53
1978,163,,90,99,71,69,86,,92,87,93,73,100,69,56,,87,59
1977,162,,97,97,90,71,74,,102,74,67,84,100,63,64,,94,54
1976,162,,88,83,64,81,74,,90,76,66,85,97,87,,,76,
1975,162,,90,95,75,79,57,,91,72,68,76,83,98,,,79,
1974,162,,91,84,80,77,72,,77,68,76,82,89,90,,,84,
1973,162,,97,89,77,71,85,,88,79,74,81,80,94,,,57,
1972,156,,80,85,87,72,86,,76,75,65,77,79,93,,,54,
1971,162,,101,85,79,60,91,,85,76,69,74,82,101,,,63,
1970,162,,108,87,56,76,79,,65,86,65,98,93,89,,,70,
1969,162,,109,87,68,62,90,,69,71,64,97,80,88,,,86,
1968,162,,91,86,67,86,103,,,67,,79,83,82,,,65,
1967,162,,76,92,89,75,91,,,84,,91,72,62,,,76,
1966,162,,97,72,83,81,88,,,80,,89,70,74,,,71,
1965,162,,94,62,95,87,89,,,75,,102,77,59,,,70,
Year,G,BLA,BAL,BOS,CHW,CLE,DET,HOU,KCR,ANA,MIL,MIN,NYY,OAK,SEA,TBD,TEX,TOR
1964,162,,97,72,98,79,85,,,82,,79,99,57,,,62,
1963,162,,86,76,94,79,79,,,70,,91,104,73,,,56,
1962,165,,77,76,85,80,85,,,86,,91,96,72,,,60,
1961,162,,95,76,86,78,101,,,70,,70,109,61,,,61,
1960,154,,89,65,87,76,71,,,,,73,97,58,,,,
1959,156,,74,75,94,89,76,,,,,63,79,66,,,,
1958,154,,74,79,82,77,77,,,,,61,92,73,,,,
1957,154,,76,82,90,76,78,,,,,55,98,59,,,,
1956,154,,69,84,85,88,82,,,,,59,97,52,,,,
1955,154,,57,84,91,93,79,,,,,53,96,63,,,,
1954,154,,54,69,94,111,68,,,,,66,103,51,,,,
1953,154,,54,84,89,92,60,,,,,76,99,59,,,,
1952,154,,64,76,81,93,50,,,,,78,95,79,,,,
1951,157,,52,87,81,93,73,,,,,62,98,70,,,,
1950,154,,58,94,60,92,95,,,,,67,98,52,,,,
1949,154,,53,96,63,89,87,,,,,50,97,81,,,,
1948,155,,59,96,51,97,78,,,,,56,94,84,,,,
1947,154,,59,83,70,80,85,,,,,64,97,78,,,,
1946,156,,66,104,74,68,92,,,,,76,87,49,,,,
1945,154,,81,71,71,73,88,,,,,87,81,52,,,,
1944,154,,89,77,71,72,88,,,,,64,83,72,,,,
1943,154,,72,68,82,82,78,,,,,84,98,49,,,,
1942,154,,82,93,66,75,73,,,,,62,103,55,,,,
1941,154,,70,84,77,75,75,,,,,70,101,64,,,,
1940,154,,67,82,82,89,90,,,,,64,88,54,,,,
Year,G,BLA,BAL,BOS,CHW,CLE,DET,HOU,KCR,ANA,MIL,MIN,NYY,OAK,SEA,TBD,TEX,TOR
1939,154,,43,89,85,87,81,,,,,65,106,55,,,,
1938,154,,55,88,65,86,84,,,,,75,99,53,,,,
1937,154,,46,80,86,83,89,,,,,73,102,54,,,,
1936,154,,57,74,81,80,83,,,,,82,102,53,,,,
1935,154,,65,78,74,82,93,,,,,67,89,58,,,,
1934,154,,67,76,53,85,101,,,,,66,94,68,,,,
1933,154,,55,63,67,75,75,,,,,99,91,79,,,,
1932,154,,63,43,49,87,76,,,,,93,107,94,,,,
1931,154,,63,62,56,78,61,,,,,92,94,107,,,,
1930,154,,64,52,62,81,75,,,,,94,86,102,,,,
1929,154,,79,58,59,81,70,,,,,71,88,104,,,,
1928,154,,82,57,72,62,68,,,,,75,101,98,,,,
1927,154,,59,51,70,66,82,,,,,85,110,91,,,,
1926,154,,62,46,81,88,79,,,,,81,91,83,,,,
1925,154,,82,47,79,70,81,,,,,96,69,88,,,,
1924,154,,74,67,66,67,86,,,,,92,89,71,,,,
1923,154,,74,61,69,82,83,,,,,75,98,69,,,,
1922,154,,93,61,77,78,79,,,,,69,94,65,,,,
1921,154,,81,75,62,94,71,,,,,80,98,53,,,,
1920,154,,76,72,96,98,61,,,,,68,95,48,,,,
1919,140,,67,66,88,84,80,,,,,56,80,36,,,,
1918,129,,58,75,57,73,55,,,,,72,60,52,,,,
1917,154,,57,90,100,88,78,,,,,74,71,55,,,,
1916,154,,79,91,89,77,87,,,,,76,80,36,,,,
1915,154,,63,101,93,57,100,,,,,85,69,43,,,,
Year,G,BLA,BAL,BOS,CHW,CLE,DET,HOU,KCR,ANA,MIL,MIN,NYY,OAK,SEA,TBD,TEX,TOR
1914,154,,71,91,70,51,80,,,,,81,70,99,,,,
1913,154,,57,79,78,86,66,,,,,90,57,96,,,,
1912,154,,53,105,78,75,69,,,,,91,50,90,,,,
1911,154,,45,78,77,80,89,,,,,64,76,101,,,,
1910,154,,47,81,68,71,86,,,,,66,88,102,,,,
1909,153,,61,88,78,71,98,,,,,42,74,95,,,,
1908,154,,83,75,88,90,90,,,,,67,51,68,,,,
1907,154,,69,59,87,85,92,,,,,49,70,88,,,,
1906,154,,76,49,93,89,71,,,,,55,90,78,,,,
1905,154,,54,78,92,76,79,,,,,64,71,92,,,,
1904,154,,65,95,89,86,62,,,,,38,92,81,,,,
1903,140,,65,91,60,77,65,,,,,43,72,75,,,,
1902,140,50,78,77,74,69,52,,,,,61,,83,,,,
1901,140,68,48,79,83,54,74,,,,,61,,74,,,,
