
Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,FLA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
2014,162,64,79,73,76,66,,94,77,82,79,73,88,77,88,90,96
2013,162,81,96,66,90,74,,92,62,74,74,73,94,76,76,97,86
2012,162,81,94,61,97,64,55,86,69,83,74,81,79,76,94,88,98
2011,162,94,89,71,79,73,56,82,72,96,77,102,72,71,86,90,80
2010,162,65,91,75,91,83,76,80,80,77,79,97,57,90,92,86,69
2009,162,70,86,83,78,92,74,95,87,80,70,93,62,75,88,91,59
2008,162,82,72,97,74,74,86,84,84,90,89,92,67,63,72,86,59
2007,163,90,84,85,72,90,73,82,71,83,88,89,68,89,71,78,73
2006,162,76,79,66,80,76,82,88,78,75,97,85,67,88,76,83,71
2005,162,77,90,79,73,67,89,71,83,81,83,88,67,82,75,100,81
2004,162,51,96,89,76,68,92,93,83,67,71,86,72,87,91,105,67
2003,162,84,101,88,69,74,87,85,91,68,66,86,75,64,100,85,83
2002,162,98,101,67,78,73,84,92,79,56,75,80,72,66,95,97,83
2001,162,92,88,88,66,73,93,86,76,68,82,86,62,79,90,93,68
2000,162,85,95,65,85,82,72,86,79,73,94,65,69,76,97,95,67
1999,163,100,103,67,96,72,97,77,64,74,97,77,78,74,86,75,68
1998,163,65,106,90,77,77,102,83,54,74,88,75,69,98,89,83,65
1997,162,,101,68,76,83,84,88,92,,88,68,79,76,90,73,78
1996,162,,96,76,81,83,82,90,80,,71,67,73,91,68,88,88
1995,144,,90,73,85,77,76,78,67,,69,69,58,70,67,62,66
1994,117,,68,49,66,53,66,58,51,,55,54,53,47,55,53,74
1993,162,,104,84,73,67,85,81,64,,59,97,75,61,103,87,94
1992,162,,98,78,90,,81,63,,,72,70,96,82,72,83,87
1991,162,,94,77,74,,65,93,,,77,78,98,84,75,84,71
1990,162,,65,77,91,,75,86,,,91,77,95,75,85,70,85
Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,FLA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
1989,162,,63,93,75,,86,77,,,87,67,74,89,92,86,81
1988,162,,54,77,87,,82,94,,,100,65,85,83,83,76,81
1987,162,,69,76,84,,76,73,,,92,80,80,65,90,95,91
1986,162,,72,70,86,,96,73,,,108,86,64,74,83,79,78
1985,162,,66,77,89,,83,95,,,98,75,57,83,62,101,84
1984,162,,80,96,70,,80,79,,,90,81,75,92,66,84,78
1983,162,,88,71,74,,85,91,,,68,90,84,81,79,79,82
1982,162,,89,73,61,,77,88,,,65,89,84,81,87,92,86
1981,111,,50,38,66,,61,63,,,41,59,46,41,56,59,60
